	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
22x38	1.3718715e-10	1.3725965e-10	0.005553517	1.3723032e-10	0.009613493	1.3704252e-10	1.373775e-10	1.3727247e-10	1.3735078e-10	1.3739715e-10	1.3715941e-10	1.3733138e-10	1.3713455e-10	1.371955e-10	1.3720389e-10	0.2967743	0.6880587	1.371657e-10	1.3741629e-10	1.3728818e-10
23x37	2.1405394e-10	2.1363018e-10	2.1383605e-10	2.1400781e-10	0.027886057	2.1351204e-10	2.136322e-10	2.139266e-10	2.1359432e-10	2.1455548e-10	2.1357882e-10	2.1401109e-10	2.140515e-10	2.1404212e-10	2.1349819e-10	0.41036695	0.561747	2.1375447e-10	2.1381076e-10	2.1411233e-10
23x39	1.1513753e-10	1.1534173e-10	1.151551e-10	1.1510942e-10	1.1524827e-10	1.15242996e-10	1.1511799e-10	1.1503173e-10	1.1525574e-10	1.1503129e-10	1.1530918e-10	0.006613643	1.1525332e-10	0.0043628267	1.1506333e-10	0.27918184	0.7098417	1.15254854e-10	1.150991e-10	1.1531093e-10
23x41	2.930365e-10	2.935786e-10	2.935685e-10	2.9276165e-10	2.9293648e-10	2.928415e-10	2.9283814e-10	0.01335754	2.931606e-10	0.020335546	2.9281916e-10	2.9280128e-10	2.937147e-10	2.9278455e-10	2.9357805e-10	0.25624296	0.70905846	0.0010055215	2.9380154e-10	2.9312425e-10
24x34	1.5310396e-10	1.533047e-10	1.5327167e-10	0.004246018	1.5347938e-10	1.5352038e-10	1.534308e-10	1.5333308e-10	1.5344424e-10	0.010728923	1.5331172e-10	1.5325179e-10	1.5322987e-10	1.5316472e-10	1.534027e-10	0.3477212	0.6373038	1.5329156e-10	1.5341119e-10	1.5333015e-10
24x36	1.4476433e-10	1.4469641e-10	1.447149e-10	1.4504983e-10	1.447563e-10	1.4492262e-10	1.4480905e-10	0.009036036	1.4455048e-10	1.4464123e-10	1.4481377e-10	1.4481293e-10	1.4494005e-10	0.0049905493	0.003332983	0.43082517	0.5518153	1.4446008e-10	1.4461861e-10	1.448458e-10
24x38	2.663963e-10	2.6655028e-10	2.6681476e-10	2.6625152e-10	0.010520972	2.661474e-10	2.659541e-10	2.6634497e-10	2.660129e-10	2.6609312e-10	2.66563e-10	2.66314e-10	2.6722324e-10	2.659191e-10	0.0050211926	0.40829596	0.57616186	2.665381e-10	2.6647456e-10	2.663338e-10
24x40	1.4001163e-10	1.3998468e-10	1.3980857e-10	1.3989739e-10	1.3975043e-10	1.40076e-10	1.3991606e-10	1.3996651e-10	1.3978882e-10	0.007806819	1.3991447e-10	1.3991393e-10	1.3994889e-10	1.3986483e-10	1.399198e-10	0.23269595	0.7594973	1.3985044e-10	1.4006933e-10	1.397987e-10
24x42	1.8729919e-10	1.8744607e-10	1.875183e-10	1.8736028e-10	1.8724025e-10	0.005508274	1.8752977e-10	1.8737567e-10	1.8702395e-10	1.8728491e-10	1.872774e-10	1.8708496e-10	1.8734278e-10	1.8724491e-10	1.8723133e-10	0.342088	0.6524037	1.8732169e-10	1.8734743e-10	1.8710959e-10
25x21	0.017295746	0.005394563	0.0012702429	6.415829e-10	0.08515606	6.4100303e-10	6.410434e-10	6.4224154e-10	6.418435e-10	6.418227e-10	0.008698216	6.4136507e-10	6.415865e-10	6.416122e-10	6.418607e-10	0.1798172	0.70236796	6.4134426e-10	6.4283595e-10	6.4013433e-10
