	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
10x10	0.00469134	0.056538917	0.3725953	4.515326e-11	0.043972574	0.019627389	0.0040235654	0.0024135883	4.5191597e-11	0.0035008255	4.5136467e-11	4.515894e-11	0.052508246	0.019895688	4.5139996e-11	4.5126566e-11	0.0031984057	0.17357294	0.20595895	0.037502382
10x12	0.0032591412	0.03940943	0.41900578	3.6600948e-11	0.046397347	0.0261129	0.0048054163	0.0016307108	3.6619593e-11	0.0007295752	3.664936e-11	3.6645586e-11	0.03726077	0.0078988215	3.6687688e-11	0.0050858925	0.0025759605	0.20101406	0.18208843	0.02272576
10x14	2.938141e-11	0.061379142	0.34704986	0.0046277917	0.07587999	0.031686295	0.004093722	0.0069832606	2.9405235e-11	0.0009923518	2.940176e-11	2.9431048e-11	0.04598251	0.022277087	2.9394192e-11	0.0047852267	0.0015437539	0.18946111	0.18836966	0.0148881925
10x16	0.0025647513	0.04870518	0.39128384	0.0044820355	0.072035626	0.027952598	0.002564074	0.0043718205	3.4495788e-11	3.4484013e-11	3.4534497e-11	3.4488815e-11	0.041368246	3.4525542e-11	3.4646133e-11	0.0053413054	0.0052322545	0.17224021	0.19832034	0.02353768
10x18	0.0021066377	0.020110209	0.43316028	0.005100114	0.07919754	0.03927566	0.0020244617	0.0044797566	5.0123825e-11	0.0025725372	5.0088274e-11	5.0025643e-11	0.06326062	5.01507e-11	0.00088644837	0.0049560885	0.001907431	0.15677007	0.16697477	0.017217338
10x20	0.0016596022	0.14174983	0.36387452	0.00858036	0.04153283	0.014667042	0.004183105	0.0033635506	3.8323834e-11	3.8495776e-11	3.839495e-11	3.8329465e-11	0.027921319	0.019164301	0.0026253867	0.0013205798	0.0016840559	0.13875648	0.196354	0.032562952
10x22	2.7242337e-11	0.24664688	0.3215153	0.007659572	0.0588294	0.014251433	0.007410061	0.0026920333	2.7192087e-11	0.0020131378	2.7207132e-11	2.7210971e-11	0.047392074	0.003757972	0.0015993466	0.0033017995	0.003475029	0.13708298	0.12793763	0.014435441
10x24	4.6446715e-11	0.15235534	0.43926385	0.0011069225	0.047831524	0.012975091	0.008383918	4.645815e-11	4.6473835e-11	0.003170503	4.641413e-11	4.640147e-11	0.042491186	4.653965e-11	4.6557765e-11	0.0054584574	0.0011041424	0.13952027	0.08552559	0.060813036
10x6	0.007019841	0.09319497	0.24578312	0.005052089	0.10725836	0.031608596	0.0016185335	0.0050586024	2.0740739e-11	2.0831371e-11	0.00029553965	2.0722313e-11	0.069552794	0.021077288	2.0720693e-11	0.003187199	0.004774056	0.1809953	0.20163219	0.021891462
10x8	0.0046456014	0.03615994	0.3430347	0.0076479195	0.082674816	0.027592598	0.0071459576	0.007907806	2.904347e-11	0.0037413617	0.00034931154	2.905627e-11	0.05886486	0.011387715	2.9014402e-11	0.0042507495	0.0024612357	0.16548757	0.21451755	0.022130242
