"","spot_coordinates","cluster_id"
"319","32x28","1"
"320","32x30","1"
"321","33x3","1"
"322","33x5","1"
"323","33x7","1"
"324","33x9","2"
"325","33x11","0"
"326","33x13","2"
"327","33x15","4"
"328","33x17","0"
"329","33x19","0"
"330","33x21","0"
"331","33x23","0"
"332","33x25","0"
"333","33x27","1"
"334","33x29","0"
"335","34x4","0"
"336","34x6","0"
"337","34x8","0"
"338","34x10","2"
"339","34x12","0"
"340","34x14","0"
"341","34x16","2"
"342","34x18","2"
"343","34x20","0"
"344","34x22","3"
"345","34x24","0"
"346","34x26","0"
"347","34x28","3"
"348","34x30","3"
"349","35x5","2"
"350","35x7","0"
"351","35x9","0"
"352","35x11","0"
"353","35x13","0"
"354","35x15","0"
"355","35x17","2"
"356","35x19","0"
"357","35x21","2"
"358","35x23","1"
"359","35x25","0"
"360","35x27","0"
"361","35x29","1"
"362","36x6","0"
"363","36x8","0"
"364","36x10","3"
"365","36x12","0"
"366","36x14","0"
"367","36x16","0"
"368","36x18","2"
"369","36x20","0"
"370","36x22","0"
"371","36x24","3"
"372","36x26","0"
"373","36x28","3"
"374","36x30","4"
"375","37x5","0"
"376","37x7","3"
"377","37x9","1"
"378","37x11","1"
"379","37x13","2"
"380","37x15","1"
"381","37x17","2"
"382","37x19","0"
"383","37x21","0"
"384","37x23","1"
"385","37x25","2"
"386","37x27","3"
"387","37x29","2"
"388","37x31","3"
"389","37x33","0"
"390","38x6","0"
"391","38x8","1"
"392","38x10","1"
"393","38x12","0"
"394","38x14","3"
"395","38x16","0"
"396","38x18","2"
"397","38x20","3"
"398","38x22","0"
"399","38x24","0"
"400","38x26","0"
"401","38x28","1"
"402","38x30","3"
"403","38x32","2"
"404","38x34","1"
"405","39x7","1"
"406","39x9","1"
"407","39x11","0"
"408","39x13","0"
"409","39x15","0"
"410","39x17","2"
"411","39x19","0"
"412","39x21","2"
"413","39x23","1"
"414","39x25","1"
"415","39x27","0"
"416","39x29","0"
"417","39x31","3"
"418","39x33","0"
"419","39x35","1"
"420","40x8","3"
"421","40x10","2"
"422","40x12","0"
"423","40x14","1"
"424","40x16","0"
"425","40x18","2"
"426","40x20","3"
"427","40x22","0"
"428","40x24","0"
"429","40x26","2"
"430","40x28","2"
"431","40x30","0"
"432","40x32","2"
"433","40x34","0"
"434","40x36","0"
"435","41x9","2"
"436","41x11","3"
"437","41x13","1"
"438","41x15","1"
"439","41x17","2"
"440","41x19","0"
"441","41x21","0"
"442","41x23","0"
"443","41x25","2"
"444","41x27","3"
"445","41x29","1"
"446","41x31","0"
"447","41x33","1"
"448","41x35","2"
"449","41x37","4"
"450","42x10","2"
"451","42x12","4"
"452","42x14","1"
"453","42x16","0"
"454","42x18","0"
"455","42x20","3"
"456","42x22","0"
"457","42x24","3"
"458","42x26","2"
"459","42x28","0"
"460","42x30","1"
"461","42x32","1"
"462","42x34","1"
"463","42x36","1"
"464","42x38","0"
"465","43x11","1"
"466","43x13","1"
"467","43x15","0"
"468","43x17","0"
"469","43x19","0"
"470","43x21","0"
"471","43x23","2"
"472","43x25","2"
"473","43x27","0"
"474","43x29","1"
"475","43x31","1"
"476","43x33","1"
"477","43x35","4"
"478","43x37","1"
"479","43x39","0"
"480","44x10","0"
"481","44x12","0"
"482","44x14","0"
"483","44x16","2"
"484","44x18","0"
"485","44x20","2"
"486","44x22","1"
"487","44x24","0"
"488","44x26","2"
"489","44x28","1"
"490","44x30","1"
"491","44x32","0"
