"","spot_coordinates","cluster_id"
"1","4x46","0"
"2","5x43","5"
"3","5x45","3"
"4","5x47","0"
"5","5x49","5"
"6","6x42","3"
"7","6x44","0"
"8","6x46","0"
"9","6x48","5"
"10","6x50","0"
"11","6x52","3"
"12","7x43","1"
"13","7x45","0"
"14","7x47","3"
"15","7x49","0"
"16","7x51","0"
"17","8x42","3"
"18","8x44","0"
"19","8x46","0"
"20","8x48","5"
"21","8x50","0"
"22","8x52","0"
"23","9x43","0"
"24","9x45","0"
"25","9x47","5"
"26","9x49","0"
"27","9x51","1"
"28","9x53","3"
"29","10x42","0"
"30","10x44","0"
"31","10x46","3"
"32","10x48","0"
"33","10x50","0"
"34","10x52","0"
"35","11x41","0"
"36","11x43","0"
"37","11x45","0"
"38","11x47","0"
"39","11x49","0"
"40","11x51","0"
"41","11x53","0"
"42","12x40","0"
"43","12x42","0"
"44","12x44","0"
"45","12x46","1"
"46","12x48","0"
"47","12x50","0"
"48","12x52","0"
"49","12x54","0"
"50","13x37","0"
"51","13x39","0"
"52","13x41","0"
"53","13x43","0"
"54","13x45","0"
"55","13x47","0"
"56","13x49","0"
"57","13x51","0"
"58","13x53","0"
"59","13x55","0"
"60","14x32","2"
"61","14x34","0"
"62","14x36","0"
"63","14x38","3"
"64","14x40","0"
"65","14x42","1"
"66","14x44","0"
"67","14x46","0"
"68","14x48","1"
"69","14x50","0"
"70","14x52","0"
"71","14x54","0"
"72","15x29","0"
"73","15x31","0"
"74","15x33","2"
"75","15x35","3"
"76","15x37","1"
"77","15x39","0"
"78","15x41","0"
"79","15x43","0"
"80","15x45","0"
"81","15x47","0"
"82","15x49","0"
"83","15x51","1"
"84","15x53","0"
"85","15x55","0"
"86","16x28","1"
"87","16x30","0"
"88","16x32","0"
"89","16x34","4"
"90","16x36","0"
"91","16x38","0"
"92","16x40","0"
"93","16x42","0"
"94","16x44","1"
"95","16x46","2"
"96","16x48","1"
"97","16x50","2"
"98","16x52","0"
"99","16x54","0"
"100","17x27","0"
"101","17x29","0"
"102","17x31","0"
"103","17x33","4"
"104","17x35","0"
"105","17x37","0"
"106","17x39","1"
"107","17x41","1"
"108","17x43","0"
"109","17x45","0"
"110","17x47","0"
"111","17x49","0"
"112","17x51","0"
"113","17x53","3"
"114","17x55","0"
"115","18x26","0"
"116","18x28","1"
"117","18x30","0"
"118","18x32","0"
"119","18x34","4"
"120","18x36","4"
"121","18x38","0"
"122","18x40","0"
"123","18x42","0"
"124","18x44","1"
"125","18x46","2"
"126","18x48","0"
"127","18x50","0"
"128","18x52","0"
"129","18x54","5"
"130","19x25","1"
"131","19x27","4"
"132","19x29","1"
"133","19x31","0"
"134","19x33","4"
"135","19x35","1"
"136","19x37","0"
"137","19x39","1"
"138","19x41","0"
"139","19x43","1"
"140","19x45","1"
"141","19x47","2"
"142","19x49","0"
"143","19x51","0"
"144","19x53","2"
"145","19x55","0"
"146","20x24","1"
"147","20x26","0"
"148","20x28","2"
"149","20x30","1"
"150","20x32","3"
"151","20x34","1"
"152","20x36","1"
"153","20x38","3"
"154","20x40","0"
"155","20x42","0"
"156","20x44","0"
"157","20x46","0"
"158","20x48","0"
"159","20x50","0"
"160","20x52","0"
"161","20x54","0"
"162","21x25","0"
"163","21x27","2"
"164","21x29","1"
"165","21x31","1"
"166","21x33","0"
"167","21x35","1"
"168","21x37","3"
"169","21x39","0"
"170","21x41","2"
"171","21x43","1"
"172","21x45","0"
"173","21x47","2"
"174","21x49","1"
"175","21x51","1"
"176","21x53","0"
"177","21x55","0"
"178","22x24","1"
"179","22x26","0"
"180","22x28","3"
"181","22x30","4"
"182","22x32","1"
"183","22x34","1"
"184","22x36","1"
"185","22x38","0"
"186","22x40","2"
"187","22x42","4"
"188","22x44","0"
"189","22x46","0"
"190","22x48","0"
"191","22x50","0"
"192","22x52","3"
"193","22x54","0"
"194","23x23","1"
"195","23x25","4"
"196","23x27","4"
"197","23x29","2"
"198","23x31","1"
"199","23x33","1"
"200","23x35","1"
"201","23x37","1"
"202","23x39","1"
"203","23x41","3"
"204","23x43","0"
"205","23x45","0"
"206","23x47","0"
"207","23x49","0"
"208","23x51","1"
"209","23x53","0"
"210","23x55","0"
"211","24x22","0"
"212","24x24","0"
"213","24x26","1"
"214","24x28","0"
"215","24x30","0"
"216","24x32","1"
"217","24x34","2"
"218","24x36","1"
"219","24x38","0"
"220","24x40","0"
"221","24x42","3"
"222","24x44","0"
"223","24x46","0"
"224","24x48","0"
"225","24x50","5"
"226","24x52","3"
"227","24x54","0"
"228","25x21","0"
"229","25x23","0"
"230","25x25","0"
"231","25x27","3"
"232","25x29","2"
"233","25x31","0"
"234","25x33","1"
"235","25x35","0"
"236","25x37","0"
"237","25x39","0"
"238","25x41","3"
"239","25x43","3"
"240","25x45","0"
"241","25x47","3"
"242","25x49","0"
"243","25x51","5"
"244","25x53","0"
"245","25x55","0"
"246","26x22","1"
"247","26x24","3"
"248","26x26","0"
"249","26x28","0"
"250","26x30","0"
"251","26x32","2"
"252","26x34","0"
"253","26x36","0"
"254","26x38","2"
"255","26x40","2"
"256","26x42","2"
"257","26x44","0"
"258","26x46","0"
"259","26x48","0"
"260","26x50","5"
"261","26x52","0"
"262","26x54","0"
"263","27x21","3"
"264","27x23","1"
"265","27x25","2"
"266","27x27","2"
"267","27x29","2"
"268","27x31","0"
"269","27x33","1"
"270","27x35","0"
"271","27x37","0"
"272","27x39","0"
"273","27x41","2"
"274","27x43","0"
"275","27x45","0"
"276","27x47","0"
"277","27x49","0"
"278","27x51","0"
"279","27x53","0"
"280","27x55","5"
"281","28x20","1"
"282","28x22","1"
"283","28x24","1"
"284","28x26","3"
"285","28x28","3"
"286","28x30","0"
"287","28x32","0"
"288","28x34","3"
"289","28x36","1"
"290","28x38","0"
"291","28x40","0"
"292","28x42","2"
"293","28x44","3"
"294","28x46","0"
"295","28x48","0"
"296","28x50","5"
"297","28x52","5"
"298","28x54","3"
"299","29x21","1"
"300","29x23","1"
"301","29x25","1"
"302","29x27","0"
"303","29x29","2"
"304","29x31","2"
"305","29x33","1"
"306","29x35","0"
"307","29x37","0"
"308","29x39","0"
"309","29x41","2"
"310","29x43","0"
"311","29x45","0"
"312","29x47","5"
"313","29x49","0"
"314","29x51","1"
"315","29x53","0"
"316","29x55","0"
"317","30x20","1"
"318","30x22","0"
"319","30x24","1"
"320","30x26","1"
"321","30x28","1"
"322","30x30","2"
"323","30x32","1"
"324","30x34","1"
"325","30x36","1"
"326","30x38","2"
"327","30x40","0"
"328","30x42","0"
"329","30x44","0"
"330","30x46","0"
"331","30x48","0"
"332","30x50","2"
"333","30x52","0"
"334","30x54","1"
"335","31x19","0"
"336","31x21","0"
"337","31x23","1"
"338","31x25","3"
"339","31x27","3"
"340","31x29","0"
"341","31x31","2"
"342","31x33","0"
"343","31x35","1"
"344","31x37","0"
"345","31x39","0"
"346","31x41","0"
"347","31x43","0"
"348","31x45","0"
"349","31x47","0"
"350","31x49","0"
"351","31x51","0"
"352","31x53","3"
"353","32x18","3"
"354","32x20","2"
"355","32x22","3"
"356","32x24","0"
"357","32x26","2"
"358","32x28","3"
"359","32x30","2"
"360","32x32","2"
"361","32x34","0"
"362","32x36","0"
"363","32x38","0"
"364","32x40","1"
"365","32x42","0"
"366","32x44","0"
"367","32x46","0"
"368","32x48","2"
"369","32x50","1"
"370","32x52","1"
"371","32x54","1"
"372","33x19","2"
"373","33x21","4"
"374","33x23","2"
"375","33x25","2"
"376","33x27","2"
"377","33x29","0"
"378","33x31","0"
"379","33x33","0"
"380","33x35","0"
"381","33x37","0"
"382","33x39","0"
"383","33x41","3"
"384","33x43","0"
"385","33x45","1"
"386","33x47","0"
"387","33x49","0"
"388","33x51","0"
"389","33x53","0"
"390","33x55","1"
"391","34x18","1"
"392","34x20","0"
"393","34x22","0"
"394","34x24","0"
"395","34x26","2"
"396","34x28","2"
"397","34x30","3"
"398","34x32","0"
"399","34x34","0"
"400","34x36","2"
"401","34x38","0"
"402","34x40","0"
"403","34x42","1"
"404","34x44","0"
"405","34x46","3"
"406","34x48","0"
"407","34x50","0"
"408","34x52","2"
"409","34x54","3"
"410","35x17","3"
"411","35x19","1"
"412","35x21","1"
"413","35x23","1"
"414","35x25","2"
"415","35x27","2"
"416","35x29","1"
"417","35x31","2"
"418","35x33","1"
"419","35x35","3"
"420","35x37","0"
"421","35x39","3"
"422","35x41","3"
"423","35x43","0"
"424","35x45","3"
"425","35x47","0"
"426","35x49","1"
"427","35x51","0"
"428","35x53","2"
"429","36x18","1"
"430","36x20","1"
"431","36x22","1"
"432","36x24","2"
"433","36x26","0"
"434","36x28","3"
"435","36x30","1"
"436","36x32","0"
"437","36x34","1"
"438","36x36","0"
"439","36x38","1"
"440","36x40","0"
"441","36x42","0"
"442","36x46","1"
"443","36x48","0"
"444","36x50","0"
"445","36x52","0"
"446","37x17","1"
"447","37x19","1"
"448","37x21","1"
"449","37x23","0"
"450","37x25","0"
"451","37x27","0"
"452","37x29","0"
"453","37x31","4"
"454","37x33","1"
"455","37x35","2"
"456","37x37","1"
"457","37x39","3"
"458","37x41","0"
"459","37x47","0"
"460","37x49","1"
"461","37x51","1"
"462","38x16","1"
"463","38x18","1"
"464","38x20","0"
"465","38x22","4"
"466","38x24","0"
"467","38x26","1"
"468","38x28","0"
"469","38x30","1"
"470","38x32","1"
"471","38x34","0"
"472","38x36","0"
"473","38x38","1"
"474","38x40","4"
"475","38x48","3"
"476","39x15","1"
"477","39x17","1"
"478","39x19","3"
"479","39x21","0"
"480","39x23","1"
"481","39x25","0"
"482","39x27","1"
"483","39x29","1"
"484","39x31","0"
"485","39x33","0"
"486","39x35","3"
"487","39x37","1"
"488","40x16","1"
"489","40x18","0"
"490","40x20","0"
"491","40x22","0"
"492","40x24","0"
"493","40x26","0"
"494","40x28","1"
"495","40x30","0"
"496","40x32","3"
"497","40x34","4"
"498","40x36","0"
"499","40x38","1"
"500","41x15","1"
"501","41x17","0"
"502","41x19","2"
"503","41x21","0"
"504","41x23","3"
"505","41x25","3"
"506","41x27","4"
"507","41x29","1"
"508","41x31","2"
"509","41x33","3"
"510","41x35","1"
"511","41x37","1"
"512","42x16","0"
"513","42x18","2"
