"","spot_coordinates","cluster_id"
"319","35x9","1"
"320","35x11","1"
"321","35x13","3"
"322","35x15","4"
"323","35x17","0"
"324","35x19","2"
"325","35x21","2"
"326","35x23","2"
"327","35x25","0"
"328","35x27","0"
"329","35x29","0"
"330","35x31","2"
"331","35x33","2"
"332","35x35","2"
"333","35x37","0"
"334","35x39","0"
"335","35x41","1"
"336","35x43","1"
"337","35x45","1"
"338","35x47","0"
"339","35x49","0"
"340","35x51","0"
"341","35x53","1"
"342","35x55","1"
"343","35x57","2"
"344","35x59","1"
"345","35x61","0"
"346","36x6","0"
"347","36x8","0"
"348","36x10","1"
"349","36x12","0"
"350","36x14","1"
"351","36x16","1"
"352","36x18","0"
"353","36x20","0"
"354","36x22","3"
"355","36x24","0"
"356","36x26","0"
"357","36x28","0"
"358","36x30","0"
"359","36x32","0"
"360","36x34","4"
"361","36x36","0"
"362","36x38","3"
"363","36x40","1"
"364","36x42","1"
"365","36x44","0"
"366","36x46","1"
"367","36x48","3"
"368","36x50","2"
"369","36x52","0"
"370","36x54","1"
"371","36x56","0"
"372","36x58","1"
"373","36x60","1"
"374","37x5","0"
"375","37x7","0"
"376","37x9","0"
"377","37x11","0"
"378","37x13","1"
"379","37x15","4"
"380","37x17","1"
"381","37x19","0"
"382","37x21","0"
"383","37x23","0"
"384","37x25","1"
"385","37x27","0"
"386","37x29","1"
"387","37x31","3"
"388","37x33","1"
"389","37x35","3"
"390","37x37","4"
"391","37x39","0"
"392","37x41","0"
"393","37x43","1"
"394","37x45","2"
"395","37x47","0"
"396","37x49","2"
"397","37x51","0"
"398","37x53","1"
"399","37x55","1"
"400","37x57","0"
"401","37x59","1"
"402","38x6","0"
"403","38x8","0"
"404","38x10","3"
"405","38x12","0"
"406","38x14","0"
"407","38x16","0"
"408","38x18","1"
"409","38x20","1"
"410","38x22","0"
"411","38x24","4"
"412","38x26","0"
"413","38x28","1"
"414","38x30","1"
"415","38x32","0"
"416","38x34","1"
"417","38x36","2"
"418","38x38","0"
"419","38x40","2"
"420","38x42","1"
"421","38x44","1"
"422","38x46","3"
"423","38x48","0"
"424","38x50","2"
"425","38x52","1"
"426","38x54","1"
"427","38x56","1"
"428","38x58","0"
"429","38x60","0"
"430","39x5","0"
"431","39x7","0"
"432","39x9","0"
"433","39x11","1"
"434","39x13","0"
"435","39x15","2"
"436","39x17","0"
"437","39x19","1"
"438","39x21","1"
"439","39x23","0"
"440","39x25","0"
"441","39x27","5"
"442","39x29","1"
"443","39x31","2"
"444","39x33","0"
"445","39x35","1"
"446","39x37","0"
"447","39x39","0"
"448","39x41","0"
"449","39x43","0"
"450","39x45","1"
"451","39x47","1"
"452","39x49","0"
"453","39x51","3"
"454","39x53","1"
"455","39x55","1"
"456","39x57","1"
"457","39x59","2"
"458","40x4","0"
"459","40x6","0"
"460","40x8","0"
"461","40x10","0"
"462","40x12","2"
"463","40x14","0"
"464","40x16","0"
"465","40x18","1"
"466","40x20","4"
"467","40x22","1"
"468","40x24","5"
"469","40x26","4"
"470","40x28","2"
"471","40x30","0"
"472","40x32","0"
"473","40x34","3"
"474","40x36","0"
"475","40x38","3"
"476","40x40","2"
"477","40x42","0"
"478","40x44","0"
"479","40x46","1"
"480","40x48","3"
"481","40x50","1"
"482","40x52","3"
"483","40x54","1"
"484","40x56","0"
"485","40x58","2"
"486","41x3","0"
"487","41x5","2"
"488","41x7","2"
"489","41x9","0"
"490","41x11","0"
"491","41x13","0"
"492","41x15","0"
"493","41x17","0"
"494","41x19","0"
"495","41x21","1"
"496","41x23","1"
"497","41x25","1"
"498","41x27","0"
"499","41x29","0"
"500","41x31","0"
"501","41x33","0"
"502","41x35","0"
"503","41x37","2"
"504","41x39","3"
"505","41x41","0"
"506","41x43","0"
"507","41x45","0"
"508","41x47","0"
"509","41x49","3"
"510","41x51","0"
"511","41x53","0"
"512","41x55","1"
"513","41x57","0"
"514","41x59","0"
"515","42x4","0"
"516","42x6","0"
"517","42x8","0"
"518","42x10","1"
"519","42x12","0"
"520","42x14","3"
"521","42x16","1"
"522","42x18","0"
"523","42x20","3"
"524","42x22","0"
"525","42x24","1"
"526","42x26","0"
"527","42x28","3"
"528","42x30","5"
"529","42x32","1"
"530","42x34","0"
"531","42x36","0"
"532","42x38","0"
"533","42x40","0"
"534","42x42","2"
"535","42x44","0"
"536","42x46","2"
"537","42x48","0"
"538","42x50","1"
"539","42x52","0"
"540","42x54","3"
"541","42x56","2"
"542","42x58","1"
"543","43x3","1"
"544","43x5","0"
"545","43x7","0"
