	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
10x10	1.8120566e-10	1.8129037e-10	1.8132702e-10	1.8146092e-10	1.8134812e-10	1.8124335e-10	1.8153223e-10	1.8143115e-10	1.8142042e-10	1.8165379e-10	0.023734195	1.8164513e-10	1.8138997e-10	1.8124126e-10	0.011108244	0.11597204	0.8491855	1.8148028e-10	1.8134362e-10	1.8133185e-10
10x12	2.3624808e-10	2.3627827e-10	2.3615346e-10	2.3618996e-10	2.363896e-10	2.362305e-10	2.3595087e-10	2.3617736e-10	2.3601027e-10	2.3662644e-10	0.025121236	2.3672891e-10	0.010967475	2.3660388e-10	2.3597246e-10	0.1686053	0.79530597	2.3585098e-10	2.3619898e-10	2.3623817e-10
10x14	1.2099255e-10	1.2090973e-10	1.2096556e-10	1.2083526e-10	1.2119672e-10	1.2088806e-10	1.2080162e-10	1.2112093e-10	1.209042e-10	1.2088022e-10	0.020285549	1.211341e-10	1.2102348e-10	1.2099485e-10	0.0049489615	0.07274367	0.90202177	1.2102047e-10	1.2105394e-10	1.2099856e-10
10x16	1.7756814e-10	1.7759794e-10	1.7756745e-10	1.776474e-10	1.7764198e-10	1.7742424e-10	1.7761285e-10	1.779543e-10	1.7760134e-10	1.7778569e-10	0.0581294	1.7751599e-10	1.7783419e-10	1.7764097e-10	0.008122695	0.0795703	0.8541776	1.7753123e-10	1.7754748e-10	1.7782809e-10
10x18	1.8474801e-10	1.8515404e-10	1.8484424e-10	1.8494863e-10	1.8483366e-10	0.0034691738	1.8506473e-10	1.8476669e-10	0.007171823	1.8502626e-10	0.038819615	1.8490666e-10	0.0018965744	1.8556415e-10	1.8468177e-10	0.090016395	0.8586264	1.8465676e-10	1.850619e-10	1.848118e-10
10x20	1.4007648e-10	1.3993254e-10	1.3997713e-10	1.4019409e-10	0.0071902773	1.3985463e-10	1.4008769e-10	1.4016896e-10	1.4007248e-10	1.4002813e-10	0.021708937	1.3991547e-10	1.4014195e-10	0.00315482	0.03397366	0.037821375	0.89615095	1.4019355e-10	1.4001798e-10	1.4003454e-10
10x22	0.0043296567	1.0962448e-10	1.09763615e-10	1.0965084e-10	1.0948448e-10	1.0967364e-10	1.09437716e-10	1.0975818e-10	1.09586645e-10	1.09543805e-10	0.027007122	1.0961613e-10	1.0977387e-10	1.0964561e-10	0.021794878	0.057125036	0.88974327	1.0954088e-10	1.09665686e-10	1.0973975e-10
10x24	1.2842183e-10	1.2835374e-10	1.2846224e-10	1.2848454e-10	1.2846811e-10	1.2852523e-10	1.2838777e-10	1.28524e-10	1.2835105e-10	1.287453e-10	0.011042262	1.2854656e-10	1.2856029e-10	1.2826662e-10	0.019148355	0.095479175	0.87433016	1.2840859e-10	1.2840663e-10	1.285159e-10
10x26	1.1181178e-10	1.1174399e-10	1.11931284e-10	1.11626396e-10	1.1169519e-10	1.1185701e-10	0.0004187673	1.1173397e-10	1.11656004e-10	1.1176316e-10	0.02468198	1.11818825e-10	1.11882406e-10	1.11651736e-10	0.013876165	0.10680226	0.8542208	1.1185914e-10	1.1165259e-10	1.1165856e-10
10x28	1.01454636e-10	1.0172844e-10	1.0165144e-10	1.0168769e-10	1.0146452e-10	1.0157953e-10	1.0144032e-10	1.01593095e-10	1.0153692e-10	1.01694105e-10	0.015169448	1.01717766e-10	1.0155318e-10	1.0156868e-10	0.013686496	0.056291923	0.91485214	1.0148037e-10	1.01647364e-10	1.01543496e-10
10x30	1.2223574e-10	1.2231272e-10	1.222924e-10	1.2227025e-10	1.2227305e-10	1.2230128e-10	1.2234654e-10	1.2228751e-10	1.2243781e-10	1.2238599e-10	0.011218543	0.011354023	0.005466017	1.2232391e-10	0.015332336	0.06149597	0.89513314	1.222066e-10	1.223008e-10	1.2231106e-10
10x32	9.2618406e-11	9.268273e-11	9.261964e-11	9.2588374e-11	9.2675305e-11	9.2585904e-11	9.254159e-11	9.2840194e-11	9.272163e-11	9.275117e-11	0.025746955	0.018171059	9.26389e-11	9.277346e-11	0.037203915	0.064035475	0.8548426	9.274233e-11	9.2795584e-11	9.282868e-11
10x34	9.932917e-11	9.9344706e-11	9.912855e-11	9.9339974e-11	9.9247735e-11	0.0010051167	9.911192e-11	9.912761e-11	9.935078e-11	9.9339974e-11	0.02558177	9.918377e-11	9.912383e-11	9.913158e-11	9.927803e-11	0.13301612	0.840397	9.924225e-11	9.918964e-11	9.9147274e-11
10x36	1.282123e-10	1.284027e-10	1.2850733e-10	1.2835007e-10	1.2828863e-10	1.2826612e-10	1.2839757e-10	1.2827443e-10	0.0043300437	1.2825219e-10	0.036389273	1.2844213e-10	1.283224e-10	1.2846615e-10	0.024669057	0.029690854	0.9049208	1.2826269e-10	1.2829572e-10	1.2821794e-10
10x38	1.008768e-10	1.0100695e-10	1.01084426e-10	1.01031426e-10	1.0103335e-10	1.0097344e-10	1.0096804e-10	1.0109715e-10	1.00963606e-10	1.0104106e-10	0.0209322	1.00897006e-10	0.000104763334	1.0094321e-10	0.022625014	0.09323667	0.86310136	1.0089777e-10	1.00870264e-10	1.0105589e-10
10x40	7.310343e-11	7.3183785e-11	7.318756e-11	7.3273186e-11	0.0015815974	7.3271084e-11	7.3075275e-11	7.3217016e-11	0.0024091108	7.3203894e-11	0.030739434	7.326312e-11	7.313035e-11	7.314346e-11	0.01557063	0.116678566	0.8330207	7.311472e-11	7.3169276e-11	7.325348e-11
10x42	8.780622e-11	8.7868386e-11	8.7827495e-11	8.7850456e-11	8.779752e-11	8.7859e-11	8.795071e-11	8.7857145e-11	8.787174e-11	8.78471e-11	0.012501052	0.0009359628	8.795943e-11	8.792237e-11	0.006844717	0.08465524	0.895063	8.7877594e-11	8.7814096e-11	8.7918846e-11
10x44	1.8576875e-10	1.8606203e-10	1.8584459e-10	1.8593926e-10	1.8582297e-10	1.8606096e-10	1.8612661e-10	1.8579463e-10	1.8590912e-10	1.8612661e-10	0.012432235	1.8630598e-10	1.8636284e-10	1.8620368e-10	0.03958931	0.1370873	0.81089115	1.8579817e-10	1.8602725e-10	1.8598148e-10
10x8	1.6875261e-10	1.6864579e-10	1.6882955e-10	1.687381e-10	1.686001e-10	1.6859625e-10	1.6858274e-10	1.6880089e-10	1.685072e-10	1.6863967e-10	0.019229895	1.6871335e-10	1.6849595e-10	1.686551e-10	0.015639804	0.09864282	0.8629472	1.6868922e-10	1.6872942e-10	0.0035402682
11x11	2.1189e-10	2.1166179e-10	2.1184354e-10	2.1174457e-10	2.1175911e-10	2.1177526e-10	2.1159761e-10	2.1213709e-10	2.1197329e-10	2.1260942e-10	0.0131782675	0.0013584929	2.1196035e-10	2.1179587e-10	2.1188275e-10	0.18776836	0.79769486	2.1206267e-10	2.1170458e-10	2.1175749e-10
11x13	1.9121192e-10	1.9093348e-10	0.018455332	1.9073439e-10	1.9089852e-10	1.9082935e-10	1.9114592e-10	1.912112e-10	1.9079406e-10	1.9114922e-10	0.03736605	1.9095242e-10	1.9126663e-10	1.9123818e-10	1.913148e-10	0.13641115	0.80776745	1.9128597e-10	1.9110655e-10	1.9115065e-10
11x15	2.4697117e-10	2.472101e-10	2.4709743e-10	2.4711486e-10	2.4680494e-10	2.4708613e-10	2.4659177e-10	2.472667e-10	2.4694383e-10	2.4676539e-10	0.03168061	2.4720587e-10	0.008773705	2.4718183e-10	2.4692262e-10	0.017362026	0.9421837	2.4701027e-10	2.46982e-10	2.4677904e-10
