	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
14x58	1.2034693e-09	1.2040479e-09	1.201444e-09	1.2023795e-09	1.2034945e-09	1.1995573e-09	1.2017948e-09	1.2008462e-09	1.2015312e-09	1.2008667e-09	1.2025286e-09	1.2029026e-09	0.042711556	1.2003081e-09	1.2005348e-09	0.34718028	0.6101081	1.2018774e-09	1.2014671e-09	1.202125e-09
14x62	6.90444e-10	6.9084843e-10	6.896858e-10	6.882797e-10	6.904611e-10	6.900569e-10	6.892979e-10	6.8952405e-10	6.894228e-10	6.8879585e-10	6.911304e-10	6.903887e-10	6.8947936e-10	6.892861e-10	6.89674e-10	0.45831642	0.54168355	6.9055067e-10	6.9060335e-10	6.901003e-10
15x57	7.536028e-10	7.5389167e-10	0.058656625	7.551697e-10	7.5417367e-10	7.5486584e-10	7.5462836e-10	7.536545e-10	7.5446577e-10	7.537206e-10	7.551452e-10	7.5359696e-10	7.547795e-10	7.544873e-10	7.541463e-10	0.38735285	0.55399054	7.541362e-10	7.5333834e-10	7.5425993e-10
15x59	1.0231619e-09	1.0232908e-09	1.022366e-09	1.0222821e-09	1.0234644e-09	1.0234078e-09	1.0231346e-09	1.0228342e-09	1.0213291e-09	1.0233611e-09	1.0217597e-09	1.0220774e-09	1.0230916e-09	1.0225317e-09	1.0232498e-09	0.48852652	0.51147354	1.0227308e-09	1.0207449e-09	1.0228283e-09
15x61	6.065766e-10	6.0687405e-10	6.074496e-10	6.059383e-10	6.0615674e-10	0.012190087	6.058781e-10	6.0737315e-10	6.0699556e-10	6.0764777e-10	6.076431e-10	6.0756544e-10	6.06262e-10	0.009171002	6.0754457e-10	0.48157397	0.49706492	6.0637995e-10	6.0773814e-10	6.0662864e-10
16x58	9.391792e-10	9.39412e-10	9.397507e-10	9.388317e-10	9.403603e-10	9.395428e-10	9.388693e-10	9.387457e-10	9.380369e-10	9.389659e-10	9.390787e-10	9.394872e-10	9.388317e-10	9.406617e-10	9.388191e-10	0.49302694	0.48230797	0.024665056	9.399067e-10	9.404931e-10
16x60	3.487202e-10	3.486464e-10	3.4872755e-10	3.4911884e-10	3.486956e-10	3.4963196e-10	3.4857323e-10	3.491062e-10	3.4880404e-10	3.4825492e-10	3.489724e-10	3.4880068e-10	3.4871223e-10	3.4920009e-10	3.4910955e-10	0.42110363	0.570086	0.008810358	3.4948194e-10	3.485892e-10
16x62	2.7624114e-10	2.766614e-10	2.76928e-10	2.7612154e-10	2.7635708e-10	2.764235e-10	2.7675215e-10	2.766461e-10	2.7663974e-10	2.7634442e-10	2.7690847e-10	2.7648678e-10	2.767907e-10	2.763871e-10	0.00434131	0.5104999	0.4851588	2.7663288e-10	2.7642613e-10	2.7654215e-10
17x57	3.981849e-10	3.9822817e-10	3.976589e-10	3.972283e-10	3.982563e-10	3.9774462e-10	3.980125e-10	0.025582617	3.978152e-10	0.0024075808	3.982555e-10	3.9798292e-10	3.9816742e-10	3.9750953e-10	3.9771278e-10	0.486254	0.48575577	3.980406e-10	3.9902878e-10	3.9777423e-10
17x59	2.9141126e-10	2.9115071e-10	2.9134012e-10	2.909586e-10	2.9106073e-10	2.9154856e-10	2.908465e-10	2.913968e-10	2.9113847e-10	2.915152e-10	2.910463e-10	2.9096137e-10	2.9198932e-10	2.9174937e-10	2.9159586e-10	0.36294678	0.63705313	2.9134012e-10	2.912801e-10	2.915013e-10
