	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
10x14	2.1533968e-10	2.1535898e-10	2.1514425e-10	2.1483056e-10	2.1477649e-10	2.1471176e-10	2.1501914e-10	2.1477238e-10	2.1509623e-10	2.1513563e-10	0.018345375	2.1512085e-10	0.00940372	2.1507328e-10	2.1527027e-10	0.083712235	0.88853866	2.1514589e-10	2.1503802e-10	2.1490064e-10
10x16	2.4037278e-10	2.4014454e-10	2.4047592e-10	2.4008226e-10	2.4028796e-10	2.4009142e-10	2.401748e-10	2.4080182e-10	2.4078484e-10	2.4045713e-10	0.025359388	2.4061728e-10	2.4074073e-10	2.4025773e-10	0.030466689	0.02927524	0.9148987	2.405544e-10	2.4067784e-10	2.402032e-10
10x18	2.5222785e-10	2.520302e-10	2.5178756e-10	2.5224034e-10	0.010407632	2.5153268e-10	2.5178468e-10	2.522596e-10	2.5204655e-10	2.5215136e-10	0.008509619	2.5188987e-10	0.010806947	2.5189997e-10	0.025156021	0.011449745	0.93367	2.522192e-10	2.5230965e-10	2.5197924e-10
10x20	2.0576009e-10	2.0547615e-10	2.0578364e-10	2.0571653e-10	2.056616e-10	2.0572868e-10	2.0536761e-10	2.0559963e-10	2.053445e-10	2.0536252e-10	0.034236316	2.0581073e-10	2.0547926e-10	2.0572476e-10	0.007902144	0.02043429	0.9374272	2.057907e-10	2.0526736e-10	2.0563219e-10
10x22	1.6341684e-10	1.6324986e-10	1.6322495e-10	1.6298385e-10	1.6320659e-10	1.6330653e-10	1.630597e-10	1.6332742e-10	1.6318416e-10	1.6312691e-10	0.016885005	1.6323491e-10	1.6306065e-10	1.633405e-10	0.0049618143	0.020237334	0.95791584	1.6303608e-10	1.6333332e-10	1.6325982e-10
10x24	2.4965638e-10	2.4936606e-10	2.4985408e-10	2.495007e-10	2.4937846e-10	2.4950403e-10	2.4979022e-10	2.4986838e-10	2.4936606e-10	2.4970923e-10	0.041938916	2.4957114e-10	2.498255e-10	2.497645e-10	2.4976163e-10	0.071048886	0.8870121	2.4996943e-10	2.4963687e-10	2.495112e-10
10x26	2.1580325e-10	2.157267e-10	2.1576374e-10	2.1563622e-10	2.1624329e-10	2.158757e-10	2.1568886e-10	2.1608045e-10	2.1579172e-10	2.1576457e-10	0.020504575	2.1619918e-10	2.1604502e-10	0.0061710887	2.1592142e-10	2.1658261e-10	0.9733243	2.1568022e-10	2.161893e-10	2.1596591e-10
10x28	2.3498783e-10	2.3493632e-10	2.3475358e-10	2.3480326e-10	2.349054e-10	2.348951e-10	2.3486463e-10	2.3511204e-10	2.3473745e-10	2.3456603e-10	0.059534658	2.351663e-10	2.3482655e-10	2.3455038e-10	0.01890144	0.14975001	0.7718139	2.350107e-10	2.3487853e-10	2.3476698e-10
10x30	3.0535915e-10	3.0566158e-10	3.054011e-10	3.0531896e-10	3.0560446e-10	3.0589722e-10	3.0533412e-10	3.058132e-10	3.05499e-10	3.0580505e-10	0.016748209	3.0627728e-10	3.061482e-10	3.0560213e-10	0.05431641	0.027847912	0.9010874	3.0612718e-10	3.0580855e-10	3.0530733e-10
10x32	1.5391832e-10	1.53933e-10	1.5453813e-10	1.541128e-10	1.5404462e-10	1.5389748e-10	1.5373759e-10	0.0059623797	1.5406255e-10	1.5383175e-10	0.02139728	0.013622124	1.5395268e-10	1.5440527e-10	0.012841543	0.09808961	0.848087	1.5400965e-10	1.5414661e-10	1.5412516e-10
10x34	2.0890495e-10	2.0870422e-10	2.089687e-10	2.0911423e-10	2.0892567e-10	2.0891053e-10	2.0886112e-10	2.0887346e-10	2.0918005e-10	2.0907834e-10	0.0387698	2.09293e-10	2.0877707e-10	2.0892167e-10	0.007071807	0.020221401	0.93393695	2.091318e-10	2.0925826e-10	2.0908195e-10
10x36	2.360179e-10	2.36473e-10	2.3639501e-10	2.360197e-10	2.359657e-10	2.362724e-10	2.3601252e-10	2.35873e-10	2.3638327e-10	2.3610752e-10	0.012107203	2.361742e-10	2.362553e-10	2.3625887e-10	2.3646174e-10	0.02641866	0.9488888	2.362192e-10	0.012585335	2.3632196e-10
10x38	3.3026737e-10	3.2911215e-10	3.3017478e-10	3.304419e-10	3.3018735e-10	3.3041164e-10	3.2996952e-10	3.2987135e-10	3.306266e-10	3.2997896e-10	0.017911611	3.3053896e-10	3.3001357e-10	3.3055286e-10	3.2983863e-10	3.3055156e-10	0.9820884	3.300652e-10	3.3004002e-10	3.2995506e-10
10x40	1.7469531e-10	1.7475198e-10	1.7514004e-10	1.7515173e-10	1.7491637e-10	1.7494406e-10	1.7456642e-10	1.7495574e-10	1.7504186e-10	1.7480832e-10	0.009643524	1.7512435e-10	1.749197e-10	1.7484134e-10	0.014933194	0.043529492	0.93189377	1.7497076e-10	1.7500347e-10	1.7511566e-10
10x42	1.773226e-10	1.7750704e-10	1.7758187e-10	1.7765776e-10	1.7763202e-10	1.7747386e-10	1.7736557e-10	1.7771064e-10	1.772898e-10	1.7741329e-10	0.012313452	1.7744102e-10	1.7755242e-10	1.7754055e-10	1.7782692e-10	0.07243032	0.91525626	1.7738688e-10	1.7771877e-10	1.7726647e-10
10x44	2.1305949e-10	2.1307942e-10	2.134113e-10	2.1289943e-10	2.1310582e-10	2.1283447e-10	2.1289862e-10	2.1298109e-10	2.1336735e-10	2.1290229e-10	0.028001165	2.1312166e-10	2.1311804e-10	2.1340478e-10	0.010641423	0.028144803	0.93321264	2.1272734e-10	2.1281822e-10	2.1307127e-10
