,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Mettl7b,3.49743987938954e-253,0.765681225504046,0.87,0.01,4.71245049348947e-249,Periportal (PP) hepatocyte(Liver),Mettl7b
Cyp3a25,1.49991333456989e-229,0.38836999512471,0.478,0.002,2.02098322699947e-225,Periportal (PP) hepatocyte(Liver),Cyp3a25
Cyp2c44,5.35603693485577e-194,0.387463787541172,0.478,0.003,7.21672416602467e-190,Periportal (PP) hepatocyte(Liver),Cyp2c44
Slc27a2,2.04924229046373e-193,0.415545937299612,0.522,0.004,2.76114906217084e-189,Periportal (PP) hepatocyte(Liver),Slc27a2
Amy1,1.20426310479965e-181,0.443038311469725,0.522,0.005,1.62262410740705e-177,Periportal (PP) hepatocyte(Liver),Amy1
Prlr,4.98623545568593e-180,0.387010991518041,0.478,0.004,6.71845365299122e-176,Periportal (PP) hepatocyte(Liver),Prlr
Apob,1.91153825139426e-177,0.724185149394397,0.739,0.012,2.57560663992862e-173,Periportal (PP) hepatocyte(Liver),Apob
Cyp2c29,2.15100385453651e-177,0.911183486435883,0.783,0.013,2.8982625936025e-173,Periportal (PP) hepatocyte(Liver),Cyp2c29
Slc38a4,4.17735408344111e-171,0.414641369169185,0.522,0.005,5.62856689202855e-167,Periportal (PP) hepatocyte(Liver),Slc38a4
Mbl2,7.51986344486585e-171,0.850927583369138,0.913,0.02,1.01322640056122e-166,Periportal (PP) hepatocyte(Liver),Mbl2
Cyp2a12,1.52689715292278e-170,0.683874242916664,0.652,0.009,2.05734122384816e-166,Periportal (PP) hepatocyte(Liver),Cyp2a12
Cfi,4.28036260546309e-170,0.570156569115992,0.609,0.008,5.76736057460097e-166,Periportal (PP) hepatocyte(Liver),Cfi
Itih1,1.30425762258459e-167,0.521499633972407,0.565,0.007,1.75735672067047e-163,Periportal (PP) hepatocyte(Liver),Itih1
Cyp2c68,1.37222070964196e-161,0.615532872051362,0.652,0.01,1.84893018417158e-157,Periportal (PP) hepatocyte(Liver),Cyp2c68
Rdh7,1.60006783669483e-161,0.889765793307461,0.826,0.017,2.15593140316261e-157,Periportal (PP) hepatocyte(Liver),Rdh7
Cpb2,4.03192093862285e-157,0.616883311149234,0.609,0.009,5.43261027270042e-153,Periportal (PP) hepatocyte(Liver),Cpb2
Plg,2.53479640805592e-156,0.938384097245708,0.87,0.02,3.41538468021455e-152,Periportal (PP) hepatocyte(Liver),Plg
Cyp2b9,2.64717862312637e-154,0.357158028368359,0.435,0.004,3.56680847680047e-150,Periportal (PP) hepatocyte(Liver),Cyp2b9
Cyp2c70,1.96622906478428e-140,0.568129769638245,0.609,0.01,2.64929704189034e-136,Periportal (PP) hepatocyte(Liver),Cyp2c70
Igfbp1,3.0543405106904e-140,0.522402976400593,0.478,0.006,4.11541840410425e-136,Periportal (PP) hepatocyte(Liver),Igfbp1
Itih4,3.44649604598222e-136,0.873629938184243,0.739,0.016,4.64380877235644e-132,Periportal (PP) hepatocyte(Liver),Itih4
Kng2,5.41503114556847e-136,0.413963479639214,0.478,0.006,7.29621296553896e-132,Periportal (PP) hepatocyte(Liver),Kng2
Proc,2.61865277064101e-132,0.492819006153955,0.565,0.009,3.52837274316169e-128,Periportal (PP) hepatocyte(Liver),Proc
Cyp2a4,1.87422772068519e-130,0.57399621245551,0.391,0.004,2.52533443085123e-126,Periportal (PP) hepatocyte(Liver),Cyp2a4
Hgfac,6.13556768892128e-130,0.357158028368359,0.391,0.004,8.26706390405254e-126,Periportal (PP) hepatocyte(Liver),Hgfac
Serpinf1,2.55812269232992e-129,0.566780848570395,0.609,0.011,3.44681451564533e-125,Periportal (PP) hepatocyte(Liver),Serpinf1
Proz,3.59652113297519e-128,0.263660264103205,0.304,0.002,4.84595257457078e-124,Periportal (PP) hepatocyte(Liver),Proz
Slc27a5,1.26931995137632e-127,0.54546395652562,0.522,0.008,1.71028170248445e-123,Periportal (PP) hepatocyte(Liver),Slc27a5
Cyp2j5,4.33379875058426e-125,0.356931707217682,0.391,0.004,5.83936043653723e-121,Periportal (PP) hepatocyte(Liver),Cyp2j5
Hsd11b1,6.8396589875936e-125,0.929739468436904,0.913,0.029,9.21575651988362e-121,Periportal (PP) hepatocyte(Liver),Hsd11b1
F12,1.63222665624476e-122,0.414415354929326,0.435,0.005,2.19926219662419e-118,Periportal (PP) hepatocyte(Liver),F12
Cyp2d10,1.92153832743913e-122,0.569255262159979,0.522,0.008,2.58908074239148e-118,Periportal (PP) hepatocyte(Liver),Cyp2d10
Apon,3.41790051712312e-122,0.355348891737427,0.435,0.005,4.60527915677169e-118,Periportal (PP) hepatocyte(Liver),Apon
Pzp,3.4681020818862e-122,0.777870739450828,0.739,0.019,4.67292074513347e-118,Periportal (PP) hepatocyte(Liver),Pzp
Apom,2.63231695325826e-121,0.697531994351035,0.696,0.016,3.54678386282017e-117,Periportal (PP) hepatocyte(Liver),Apom
Slc10a1,1.37974044003782e-120,0.356705437276678,0.391,0.004,1.85906226890695e-116,Periportal (PP) hepatocyte(Liver),Slc10a1
Col18a1,1.79726851696371e-120,0.325933778609924,0.391,0.004,2.42163959975691e-116,Periportal (PP) hepatocyte(Liver),Col18a1
1300017J02Rik,7.53974516486886e-119,0.385201854887108,0.435,0.006,1.01590526351443e-114,Periportal (PP) hepatocyte(Liver),1300017J02Rik
F2,1.09411223512531e-117,1.0668564897198,0.913,0.032,1.47420682560784e-113,Periportal (PP) hepatocyte(Liver),F2
Apof,4.83728435807409e-116,0.629120037597671,0.739,0.02,6.51775694406903e-112,Periportal (PP) hepatocyte(Liver),Apof
Serpina3m,6.74619983745025e-116,0.515423324065032,0.609,0.013,9.08982966098047e-112,Periportal (PP) hepatocyte(Liver),Serpina3m
Serpinf2,3.66826358463772e-115,0.633138797192588,0.652,0.015,4.94261835394086e-111,Periportal (PP) hepatocyte(Liver),Serpinf2
Rarres2,1.12450808175426e-114,0.839203082289402,0.87,0.028,1.51516218935569e-110,Periportal (PP) hepatocyte(Liver),Rarres2
Azgp1,2.33006797060718e-112,0.749848583483811,0.826,0.026,3.13953358359612e-108,Periportal (PP) hepatocyte(Liver),Azgp1
Apoa5,3.05340368646986e-111,0.712572691970306,0.783,0.023,4.11415612714948e-107,Periportal (PP) hepatocyte(Liver),Apoa5
G6pc,3.10551490693788e-111,0.294864043770561,0.348,0.004,4.1843707856081e-107,Periportal (PP) hepatocyte(Liver),G6pc
Itih2,3.79830710897214e-108,0.585500838456354,0.652,0.016,5.11783899862907e-104,Periportal (PP) hepatocyte(Liver),Itih2
Serpina3n,6.39224972043789e-108,0.295770046097541,0.304,0.003,8.61291727331801e-104,Periportal (PP) hepatocyte(Liver),Serpina3n
Cyp2f2,1.23004534979719e-107,0.766355761785946,0.522,0.01,1.65736310431674e-103,Periportal (PP) hepatocyte(Liver),Cyp2f2
Gjb1,8.08092927556264e-107,0.466826358692131,0.478,0.008,1.08882441058931e-102,Periportal (PP) hepatocyte(Liver),Gjb1
Aadac,2.24631396329237e-106,0.590204621347997,0.565,0.012,3.02668343414013e-102,Periportal (PP) hepatocyte(Liver),Aadac
Serping1,5.22123688587306e-105,0.537828617388263,0.609,0.014,7.03509458002537e-101,Periportal (PP) hepatocyte(Liver),Serping1
Fgl1,7.1467542909527e-105,0.699992020191897,0.609,0.015,9.62953673162966e-101,Periportal (PP) hepatocyte(Liver),Fgl1
Lcat,1.7058754575844e-104,0.411481808878816,0.478,0.008,2.29849659154922e-100,Periportal (PP) hepatocyte(Liver),Lcat
Kng1,1.74864341537906e-103,1.42828154227286,0.957,0.041,2.35612213788175e-99,Periportal (PP) hepatocyte(Liver),Kng1
Cps1,4.7264691544599e-103,0.567679927075553,0.522,0.01,6.36844453871927e-99,Periportal (PP) hepatocyte(Liver),Cps1
Cyp3a13,2.05137728278162e-102,0.262753645727415,0.304,0.003,2.76402575081995e-98,Periportal (PP) hepatocyte(Liver),Cyp3a13
Ugt2b36,9.33364989994679e-102,0.610373017642053,0.609,0.015,1.25761598751883e-97,Periportal (PP) hepatocyte(Liver),Ugt2b36
Fga,2.2511738708869e-101,1.25392815512808,0.957,0.042,3.03323167363301e-97,Periportal (PP) hepatocyte(Liver),Fga
Cfhr2,3.07877209132298e-101,0.491244379802286,0.522,0.011,4.14833751584858e-97,Periportal (PP) hepatocyte(Liver),Cfhr2
Tfr2,1.08780744684582e-100,0.263660264103205,0.261,0.002,1.46571175388005e-96,Periportal (PP) hepatocyte(Liver),Tfr2
Ces1d,7.10214658422668e-100,0.790397612085888,0.739,0.024,9.56943230758703e-96,Periportal (PP) hepatocyte(Liver),Ces1d
Cyp2c37,1.17569992597209e-99,0.677143232536102,0.609,0.015,1.58413808025479e-95,Periportal (PP) hepatocyte(Liver),Cyp2c37
Hrg,2.35395253800245e-98,0.824599678969136,0.783,0.027,3.1717156497045e-94,Periportal (PP) hepatocyte(Liver),Hrg
Cyp2c54,1.77316910154762e-96,0.441908495509524,0.391,0.006,2.38916804742526e-92,Periportal (PP) hepatocyte(Liver),Cyp2c54
Ces2a,3.85974108659712e-96,0.324351320949527,0.391,0.006,5.20061514008095e-92,Periportal (PP) hepatocyte(Liver),Ces2a
Hal,1.44880343669676e-94,0.43785169481391,0.478,0.01,1.95211775060522e-90,Periportal (PP) hepatocyte(Liver),Hal
Cp,2.17285138997519e-94,0.743892902485077,0.739,0.025,2.92769996285257e-90,Periportal (PP) hepatocyte(Liver),Cp
Crp,4.73929940781502e-92,0.561403286877294,0.609,0.017,6.38573202208996e-88,Periportal (PP) hepatocyte(Liver),Crp
Pck1,1.10252139052252e-91,0.680698817257218,0.783,0.029,1.48553732159004e-87,Periportal (PP) hepatocyte(Liver),Pck1
Gls2,2.02745650766056e-91,0.462106718512056,0.522,0.012,2.73179489842184e-87,Periportal (PP) hepatocyte(Liver),Gls2
Cyp1a2,2.17485653754821e-91,0.469081659602968,0.391,0.006,2.93040169869246e-87,Periportal (PP) hepatocyte(Liver),Cyp1a2
Agt,2.20375649052232e-91,0.6340340524001,0.565,0.015,2.96934149532978e-87,Periportal (PP) hepatocyte(Liver),Agt
Slco1b2,4.31227957620159e-91,0.384298512458922,0.391,0.006,5.81036550097402e-87,Periportal (PP) hepatocyte(Liver),Slco1b2
Cyp4f14,4.22292576790484e-88,0.382043720071833,0.435,0.008,5.68997017967499e-84,Periportal (PP) hepatocyte(Liver),Cyp4f14
Itih3,6.72539235993424e-88,0.515423324065032,0.522,0.013,9.06179366577539e-84,Periportal (PP) hepatocyte(Liver),Itih3
Pemt,3.69941128536368e-86,0.462106718512056,0.522,0.013,4.98458676589902e-82,Periportal (PP) hepatocyte(Liver),Pemt
Serpinc1,1.69835379876687e-85,1.31294263579556,0.957,0.051,2.28836190845848e-81,Periportal (PP) hepatocyte(Liver),Serpinc1
Fgg,4.47592020385973e-83,1.4868815534981,1,0.059,6.0308548826806e-79,Periportal (PP) hepatocyte(Liver),Fgg
Cyp2c40,1.51096234122794e-82,0.541863592600443,0.478,0.011,2.03587065857053e-78,Periportal (PP) hepatocyte(Liver),Cyp2c40
Apoa4,5.45574299335495e-82,0.731625156659093,0.304,0.004,7.35106810924646e-78,Periportal (PP) hepatocyte(Liver),Apoa4
Perp,5.63971842109379e-81,0.351515309412513,0.435,0.009,7.59895660058178e-77,Periportal (PP) hepatocyte(Liver),Perp
Spp2,4.80960071299937e-80,0.353543022172165,0.391,0.007,6.48045600069535e-76,Periportal (PP) hepatocyte(Liver),Spp2
Ces1c,5.3188485665583e-80,1.37102674554146,0.957,0.056,7.16661655858065e-76,Periportal (PP) hepatocyte(Liver),Ces1c
Vtn,1.2076599866832e-79,1.03935428546274,0.87,0.045,1.62720106605694e-75,Periportal (PP) hepatocyte(Liver),Vtn
Angptl3,5.84395839441789e-79,0.484300685199297,0.565,0.017,7.87414954063866e-75,Periportal (PP) hepatocyte(Liver),Angptl3
H2-Q10,7.78758878081499e-79,1.17503548485103,0.87,0.045,1.04929971232701e-74,Periportal (PP) hepatocyte(Liver),H2-Q10
Ambp,1.86082562595078e-78,1.31251104321225,0.87,0.046,2.50727644840608e-74,Periportal (PP) hepatocyte(Liver),Ambp
Pon1,4.62739141628395e-78,0.83569045518701,0.783,0.035,6.23494719430099e-74,Periportal (PP) hepatocyte(Liver),Pon1
Marc1,2.34273256519537e-76,0.353092063878164,0.391,0.008,3.15659785834424e-72,Periportal (PP) hepatocyte(Liver),Marc1
Mup20,7.11971646304095e-76,0.290346303988178,0.348,0.006,9.59310596230137e-72,Periportal (PP) hepatocyte(Liver),Mup20
Cyp2c69,1.27336961165461e-74,0.795728588727069,0.565,0.018,1.71573821474342e-70,Periportal (PP) hepatocyte(Liver),Cyp2c69
Sardh,1.30523748043993e-73,0.350390576418004,0.435,0.01,1.75867698114476e-69,Periportal (PP) hepatocyte(Liver),Sardh
Arg1,2.80384108940971e-73,0.82391401059296,0.826,0.042,3.77789548387064e-69,Periportal (PP) hepatocyte(Liver),Arg1
Dgat2,2.88285552002901e-73,0.509160722518692,0.565,0.019,3.88435952768709e-69,Periportal (PP) hepatocyte(Liver),Dgat2
Slc38a3,4.6325972025779e-73,0.293732693949696,0.304,0.005,6.24196147075347e-69,Periportal (PP) hepatocyte(Liver),Slc38a3
Ugt2a3,5.81075870423602e-73,0.260942871126706,0.304,0.005,7.82941627808761e-69,Periportal (PP) hepatocyte(Liver),Ugt2a3
Ces3b,7.52613148254409e-72,0.262300644587166,0.261,0.003,1.01407095595799e-67,Periportal (PP) hepatocyte(Liver),Ces3b
