,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
C3,6.14321482258366e-47,1.28766312324663,0.957,0.105,8.27736765194922e-43,Periportal (PP) hepatocyte(Liver),C3
Pcbd1,2.85188466551415e-46,0.560780974568138,0.609,0.036,3.84262939831377e-42,Periportal (PP) hepatocyte(Liver),Pcbd1
Gnmt,4.27213712948778e-46,0.85226358891188,0.87,0.076,5.75627756827183e-42,Periportal (PP) hepatocyte(Liver),Gnmt
Mgst1,2.87838235297689e-45,1.60163802261929,0.957,0.109,3.87833238240106e-41,Periportal (PP) hepatocyte(Liver),Mgst1
Tdo2,4.39828414806514e-45,0.581046695980193,0.609,0.037,5.92624806110296e-41,Periportal (PP) hepatocyte(Liver),Tdo2
F10,1.30664352554767e-44,0.487545412502464,0.609,0.037,1.76057148632294e-40,Periportal (PP) hepatocyte(Liver),F10
Hacl1,1.87647726535057e-44,0.506555423606928,0.609,0.037,2.52836546733336e-40,Periportal (PP) hepatocyte(Liver),Hacl1
Gsta3,2.93787521749799e-44,1.08165489934235,0.913,0.091,3.95849306805679e-40,Periportal (PP) hepatocyte(Liver),Gsta3
Leap2,3.13802444986385e-44,0.259135369504916,0.261,0.006,4.22817414374656e-40,Periportal (PP) hepatocyte(Liver),Leap2
Aldob,3.70276282383834e-44,1.36903736511276,1,0.116,4.98910262883978e-40,Periportal (PP) hepatocyte(Liver),Aldob
Pigr,1.65760402790947e-43,0.681531948459478,0.696,0.052,2.23345566720522e-39,Periportal (PP) hepatocyte(Liver),Pigr
Ttc36,1.05894658453267e-42,0.647434411190858,0.696,0.051,1.42682462799932e-38,Periportal (PP) hepatocyte(Liver),Ttc36
Cth,1.21984858879078e-42,0.390742967704217,0.478,0.023,1.6436239885367e-38,Periportal (PP) hepatocyte(Liver),Cth
Serpina3k,2.51909891083713e-42,1.93340628160632,1,0.138,3.39423387246195e-38,Periportal (PP) hepatocyte(Liver),Serpina3k
Sdc2,3.1608044732107e-42,0.256205129608189,0.304,0.009,4.2588679472041e-38,Periportal (PP) hepatocyte(Liver),Sdc2
Gchfr,5.25040996614027e-42,0.439713586814466,0.565,0.034,7.0744023883774e-38,Periportal (PP) hepatocyte(Liver),Gchfr
Ndrg2,5.30505960616083e-42,0.568522239455813,0.652,0.045,7.14803731334111e-38,Periportal (PP) hepatocyte(Liver),Ndrg2
Chchd10,8.47063773956779e-42,0.941124741110654,0.913,0.095,1.14133372902936e-37,Periportal (PP) hepatocyte(Liver),Chchd10
Car3,1.63583690840694e-41,0.996873866801408,0.87,0.085,2.20412665038751e-37,Periportal (PP) hepatocyte(Liver),Car3
Mup3,3.5082786963884e-40,1.83496770534852,0.913,0.115,4.72705471551373e-36,Periportal (PP) hepatocyte(Liver),Mup3
Acaa1b,1.25541235671297e-39,0.67552334669103,0.652,0.049,1.69154260943505e-35,Periportal (PP) hepatocyte(Liver),Acaa1b
Hpd,1.69268227976371e-39,0.895413580205051,0.87,0.09,2.28072010375362e-35,Periportal (PP) hepatocyte(Liver),Hpd
Serpina1d,2.68640671511188e-39,1.41988262536322,0.913,0.115,3.61966440794175e-35,Periportal (PP) hepatocyte(Liver),Serpina1d
Adh1,3.81890631722493e-39,1.21696862392153,0.957,0.119,5.14559437182887e-35,Periportal (PP) hepatocyte(Liver),Adh1
9030619P08Rik,4.06988670617785e-39,0.310889147705685,0.391,0.017,5.48376534790403e-35,Periportal (PP) hepatocyte(Liver),9030619P08Rik
Hgd,1.08705210418299e-38,0.361534753350206,0.478,0.026,1.46469400517616e-34,Periportal (PP) hepatocyte(Liver),Hgd
Oaf,1.5286857463433e-38,0.284279551305941,0.348,0.014,2.05975117462296e-34,Periportal (PP) hepatocyte(Liver),Oaf
Cldn3,1.78661883629668e-38,0.257556481165188,0.261,0.007,2.40729022002615e-34,Periportal (PP) hepatocyte(Liver),Cldn3
Nipsnap1,3.15253920216686e-38,0.311112038601515,0.391,0.017,4.24773132099963e-34,Periportal (PP) hepatocyte(Liver),Nipsnap1
Pah,1.34003433568838e-37,0.358450371085614,0.478,0.027,1.80556226390653e-33,Periportal (PP) hepatocyte(Liver),Pah
Echdc2,2.32658432730364e-37,0.253507892639187,0.304,0.011,3.13483972260892e-33,Periportal (PP) hepatocyte(Liver),Echdc2
Sc5d,2.92828282822819e-37,0.39273125953344,0.478,0.027,3.94556828275467e-33,Periportal (PP) hepatocyte(Liver),Sc5d
Ahsg,1.62717922846906e-36,2.21161864029671,1,0.168,2.19246129243921e-32,Periportal (PP) hepatocyte(Liver),Ahsg
Sult2a2,3.54376684064257e-35,0.489511122428862,0.478,0.029,4.7748714410818e-31,Periportal (PP) hepatocyte(Liver),Sult2a2
Selenbp1,4.04796442538026e-35,0.388758621335962,0.478,0.029,5.45422726675737e-31,Periportal (PP) hepatocyte(Liver),Selenbp1
Pxmp2,4.22689484695808e-35,0.365735975671102,0.435,0.024,5.69531811679132e-31,Periportal (PP) hepatocyte(Liver),Pxmp2
Serpina1c,1.50124144605766e-34,1.63796331713267,1,0.169,2.02277272441809e-30,Periportal (PP) hepatocyte(Liver),Serpina1c
Agpat2,1.68563620475757e-34,0.314237738846733,0.348,0.015,2.27122622229034e-30,Periportal (PP) hepatocyte(Liver),Agpat2
Aldh1a1,2.99216443831107e-34,0.501365100536236,0.565,0.042,4.03164236418034e-30,Periportal (PP) hepatocyte(Liver),Aldh1a1
Fmo3,4.30683176796499e-34,0.251713767914827,0.304,0.012,5.80302512415603e-30,Periportal (PP) hepatocyte(Liver),Fmo3
Rida,6.23445078059701e-34,0.764808462982617,0.565,0.044,8.40029898177641e-30,Periportal (PP) hepatocyte(Liver),Rida
Hpn,1.28858981239639e-33,0.253507892639187,0.304,0.012,1.73624591322289e-29,Periportal (PP) hepatocyte(Liver),Hpn
Ebp,1.469883779069e-33,0.433593349131333,0.565,0.042,1.98052140391758e-29,Periportal (PP) hepatocyte(Liver),Ebp
Hsd17b2,2.0486964719643e-33,0.289445200074986,0.261,0.009,2.7604136263247e-29,Periportal (PP) hepatocyte(Liver),Hsd17b2
Serpina1a,2.66423888654573e-33,1.34969140851131,0.913,0.136,3.58979547573171e-29,Periportal (PP) hepatocyte(Liver),Serpina1a
Urah,3.58211923524007e-33,0.454828571874629,0.522,0.036,4.82654745756247e-29,Periportal (PP) hepatocyte(Liver),Urah
Serpina1b,4.12466703224778e-33,1.56087499516941,0.957,0.158,5.55757635925066e-29,Periportal (PP) hepatocyte(Liver),Serpina1b
Akr1c6,4.33908482146684e-33,0.600753811710544,0.652,0.057,5.84648288844442e-29,Periportal (PP) hepatocyte(Liver),Akr1c6
Ttpa,6.80087049288664e-33,0.362417755615084,0.435,0.025,9.16349290211545e-29,Periportal (PP) hepatocyte(Liver),Ttpa
Bhmt,2.08970457457214e-32,0.947249426857045,0.739,0.078,2.8156679437785e-28,Periportal (PP) hepatocyte(Liver),Bhmt
Gcdh,3.01915591831331e-32,0.357790667928099,0.478,0.031,4.06801068433535e-28,Periportal (PP) hepatocyte(Liver),Gcdh
