,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Arpp19,4.96948203825994e-11,0.160159532749666,0.73,0.618,4.79356237410554e-07
Psmd14,5.06237261432584e-11,0.141686381915553,0.538,0.403,4.88316462377871e-07
Dcn,5.61572557749092e-11,0.140026890216818,0.958,0.94,5.41692889204774e-07
Cd81,7.51783050145045e-11,0.111533995816131,0.997,0.989,7.25169930169911e-07
Abcc2,9.23899542129998e-11,0.143165894510695,0.908,0.859,8.91193498338596e-07
Pxdc1,9.95919506542983e-11,0.138494567911787,0.656,0.518,9.60663956011361e-07
Cyp2d10,1.14036775097374e-10,0.114574910219067,0.99,0.986,1.09999873258927e-06
Tex264,1.17856525808982e-10,0.143569509545242,0.566,0.435,1.13684404795344e-06
Ldhd,1.33715912194575e-10,0.122198777151682,0.547,0.405,1.28982368902887e-06
Idh2,1.81060862785873e-10,0.126663406532169,0.476,0.343,1.74651308243254e-06
Prdx1,2.12113933400323e-10,0.138079973785263,0.991,0.991,2.04605100157951e-06
Reln,2.49928367866269e-10,0.122181500918153,0.502,0.37,2.41080903643803e-06
Dusp6,3.59604286050643e-10,0.11169543044773,0.407,0.279,3.4687429432445e-06
Tspan12,3.75296387113183e-10,0.132237544308394,0.957,0.926,3.62010895009377e-06
Plcxd2,5.03116720426694e-10,0.123917269496507,0.467,0.343,4.85306388523589e-06
Pdzk1,5.09304344146219e-10,0.115328619025893,0.498,0.365,4.91274970363443e-06
Mcc,5.16064605475086e-10,0.118590248869027,0.491,0.362,4.97795918441268e-06
Ptprb,5.81610275418114e-10,0.148015983052578,0.6,0.486,5.61021271668312e-06
Mrps18a,6.40441164739224e-10,0.130599068917999,0.46,0.336,6.17769547507456e-06
Aldh4a1,6.72119090401666e-10,0.1338404367706,0.965,0.949,6.48326074601447e-06
Rnf14,7.03390159095982e-10,0.125027270952294,0.448,0.324,6.78490147463984e-06
Rdh16,7.42461219389454e-10,0.142313436219673,0.647,0.522,7.16178092223067e-06
Plpp1,1.12381412092251e-09,0.100900383177989,0.341,0.225,1.08403110104185e-05
Acaa1a,1.15690588517019e-09,0.141218034926833,0.512,0.388,1.11595141683517e-05
Gm13775,1.19193266857299e-09,0.169078012613689,0.277,0.179,1.14973825210551e-05
Dhrs1,1.85909360335864e-09,0.139492915074314,0.754,0.646,1.79328168979975e-05
Adh5,1.97718553519078e-09,0.108190914452129,0.972,0.959,1.90719316724503e-05
Hsd3b3,2.24970095895682e-09,0.131127045191435,0.663,0.546,2.17006154500975e-05
Inhbc,2.38480536677828e-09,0.12451721344678,0.507,0.388,2.30038325679433e-05
Mapk14,2.71187548473129e-09,0.127856543758421,0.593,0.47,2.61587509257181e-05
Msrb1,2.84803703668236e-09,0.102054613123881,0.991,0.983,2.74721652558381e-05
Aox3,3.23623658992869e-09,0.12878397389537,0.804,0.707,3.12167381464521e-05
Txn1,3.50286474621797e-09,0.117022673651992,0.952,0.914,3.37886333420186e-05
Lpl,3.56469215323638e-09,0.113904023567532,0.32,0.212,3.43850205101181e-05
Rbbp4,4.85998884220002e-09,0.135360261781406,0.588,0.47,4.68794523718614e-05
Hdac5,4.93876299998642e-09,0.105127942592888,0.325,0.217,4.7639307897869e-05
Srgn,5.20601806632685e-09,0.102372449056954,0.298,0.194,5.02172502677888e-05
Pex6,5.24365871509461e-09,0.109749163182543,0.533,0.403,5.05803319658026e-05
Ech1,6.35196692170504e-09,0.132504726502205,0.888,0.824,6.12710729267668e-05
Aox1,7.36351453553492e-09,0.106535396809337,0.377,0.264,7.10284612097698e-05
Eng,8.50109726146298e-09,0.121321382834594,0.486,0.371,8.20015841840719e-05
Ttc38,9.47835912320028e-09,0.123006028153676,0.509,0.394,9.14282521023899e-05
Psmd6,9.67481859174222e-09,0.130362319208343,0.611,0.494,9.33233001359455e-05
4931406C07Rik,1.09950874083672e-08,0.118910749931396,0.851,0.763,0.00010605861314111
Adtrp,1.13894492277449e-08,0.129918676822607,0.789,0.698,0.000109862627250827
1600014C10Rik,1.23510434557082e-08,0.104913746485626,0.516,0.385,0.000119138165173761
Rarres1,1.52447832421274e-08,0.125854093169048,0.505,0.389,0.000147051179153561
Psmd2,1.69459822962146e-08,0.122514999050096,0.587,0.467,0.000163460945229286
Cyp2d40,1.72263720677825e-08,0.102540546867427,0.467,0.345,0.00016616558496583
Fam195a,1.97932114629907e-08,0.103205937512211,0.502,0.379,0.000190925317772008
Socs2,2.49805592402712e-08,0.121365153895012,0.375,0.271,0.000240962474431656
Ptdss1,2.54344697359269e-08,0.105642554642956,0.353,0.247,0.000245340895072751
Ptp4a2,2.81386577659154e-08,0.124122702821867,0.768,0.695,0.00027142549281002
Tsc22d3,3.13128601879843e-08,0.106342762102957,0.455,0.34,0.000302043849373296
F5,3.52235722338017e-08,0.116661331172729,0.955,0.944,0.000339766577767252
Dcun1d4,4.76896395095668e-08,0.104021149344686,0.322,0.224,0.000460014262709281
Xdh,4.84161377871622e-08,0.110723844381588,0.495,0.384,0.000467022065094966
Prdx3,5.1286767220505e-08,0.117708252360758,0.865,0.815,0.000494712156608992
Dcxr,6.08328353720719e-08,0.112938274287549,0.543,0.432,0.000586793529999005
Akr1d1,6.26382593813328e-08,0.118838722631706,0.981,0.954,0.000604208649992336
Hsph1,6.27707368112423e-08,0.10413080842007,0.422,0.308,0.000605486527281243
Glyat,6.39059150162049e-08,0.108249138942472,0.953,0.925,0.000616436456246313
Cacybp,6.55079152529584e-08,0.10017731432887,0.412,0.301,0.000631889350530036
Entpd5,7.11768267829378e-08,0.123596944538548,0.87,0.809,0.000686571671148218
Cyp4f14,9.13387657509674e-08,0.102481141714298,0.99,0.982,0.000881053734433832
Cyp2c68,9.48899373046738e-08,0.102014472226802,0.974,0.947,0.000915308335240883
Slc22a23,9.82872630156689e-08,0.113702039069155,0.433,0.327,0.000948078939049142
Tbcel,1.2212920121012e-07,0.118734979508011,0.481,0.372,0.00117805827487282
Akr1c13,1.26207201904677e-07,0.109614371774727,0.595,0.47,0.00121739466957251
Acat1,1.42102078103715e-07,0.105025360973303,0.865,0.832,0.00137071664538844
Ttc39b,1.70758559178872e-07,0.111594325111099,0.398,0.295,0.0016471370618394
Txnl1,2.17920414337589e-07,0.122315149069465,0.792,0.738,0.00210206031670039
Rps27l,2.23888536116898e-07,0.104129929369901,0.967,0.953,0.0021596288193836
1810058I24Rik,2.43815296880536e-07,0.167921870655557,0.306,0.221,0.00235184235370965
Efhd2,2.47960340727606e-07,0.105470292117987,0.433,0.327,0.00239182544665849
Ptprd,2.64786044497361e-07,0.111259302020561,0.841,0.758,0.00255412618522154
Psmb4,2.85083559809007e-07,0.100697047243052,0.806,0.716,0.00274991601791768
Cmbl,2.93386593540616e-07,0.116216636765933,0.882,0.852,0.00283000708129278
Gna11,3.04935295829435e-07,0.10127258233077,0.476,0.367,0.00294140586357073
