"","spot_coordinates","cluster_id"
"1","2x38","3"
"2","2x40","0"
"3","2x42","0"
"4","2x44","0"
"5","3x39","0"
"6","3x41","2"
"7","3x43","0"
"8","3x45","0"
"9","4x38","0"
"10","4x40","2"
"11","4x42","0"
"12","4x44","0"
"13","4x46","0"
"14","5x39","0"
"15","5x41","0"
"16","5x43","0"
"17","5x45","2"
"18","5x47","0"
"19","6x38","0"
"20","6x40","0"
"21","6x42","0"
"22","6x44","4"
"23","6x46","2"
"24","6x48","0"
"25","7x39","0"
"26","7x41","2"
"27","7x43","0"
"28","7x45","0"
"29","7x47","1"
"30","8x38","4"
"31","8x40","3"
"32","8x42","1"
"33","8x44","1"
"34","8x46","1"
"35","8x48","2"
"36","9x37","0"
"37","9x39","2"
"38","9x41","4"
"39","9x43","0"
"40","9x45","3"
"41","9x47","1"
"42","9x49","0"
"43","10x36","0"
"44","10x38","0"
"45","10x40","0"
"46","10x42","1"
"47","10x44","0"
"48","10x46","3"
"49","10x48","0"
"50","11x35","3"
"51","11x37","0"
"52","11x39","3"
"53","11x41","1"
"54","11x43","0"
"55","11x45","4"
"56","11x47","0"
"57","11x49","0"
"58","12x36","0"
"59","12x38","1"
"60","12x40","0"
"61","12x42","2"
"62","12x44","0"
"63","12x46","1"
"64","12x48","0"
"65","12x50","2"
"66","13x37","2"
"67","13x39","1"
"68","13x41","2"
"69","13x43","2"
"70","13x45","3"
"71","13x47","1"
"72","13x49","1"
"73","14x36","2"
"74","14x38","1"
"75","14x40","0"
"76","14x42","3"
"77","14x44","0"
"78","14x46","0"
"79","14x48","1"
"80","14x50","1"
"81","15x37","0"
"82","15x39","3"
"83","15x41","0"
"84","15x43","1"
"85","15x45","0"
"86","15x47","2"
"87","15x49","0"
"88","15x51","1"
"89","16x36","0"
"90","16x38","0"
"91","16x40","0"
"92","16x42","0"
"93","16x44","4"
"94","16x46","3"
"95","16x48","2"
"96","16x50","0"
"97","17x37","1"
"98","17x39","0"
"99","17x41","4"
"100","17x43","0"
"101","17x45","0"
"102","17x47","0"
"103","17x49","0"
"104","17x51","0"
"105","18x36","0"
"106","18x38","1"
"107","18x40","0"
"108","18x42","1"
"109","18x44","2"
"110","18x46","1"
"111","18x48","1"
"112","18x50","0"
"113","19x35","1"
"114","19x37","1"
"115","19x39","0"
"116","19x41","1"
"117","19x43","0"
"118","19x45","1"
"119","19x47","0"
"120","19x49","0"
"121","19x51","3"
"122","20x34","0"
"123","20x36","0"
"124","20x38","0"
"125","20x40","0"
"126","20x42","2"
"127","20x44","3"
"128","20x46","0"
"129","20x48","0"
"130","20x50","2"
"131","21x35","0"
"132","21x37","1"
"133","21x39","0"
"134","21x41","2"
"135","21x43","4"
"136","21x45","1"
"137","21x47","2"
"138","21x49","2"
"139","21x51","0"
"140","22x34","0"
"141","22x36","5"
"142","22x38","5"
"143","22x40","0"
"144","22x42","2"
"145","22x44","0"
"146","22x46","0"
"147","22x48","0"
"148","22x50","1"
"149","23x35","0"
"150","23x37","5"
"151","23x39","1"
"152","23x41","2"
"153","23x43","2"
"154","23x45","0"
"155","23x47","0"
"156","23x49","1"
"157","23x51","0"
"158","24x34","3"
"159","24x36","5"
"160","24x38","0"
"161","24x40","1"
"162","24x42","2"
"163","24x44","1"
"164","24x46","1"
"165","24x48","1"
"166","24x50","0"
"167","25x33","3"
"168","25x35","0"
"169","25x37","0"
