,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Serpina1e1,2.60124542705575e-104,0.948834297788979,0.542,0.054,3.50491808841492e-100,Pericentral (PC) hepatocytes(Liver),Serpina1e
Cyp2c501,7.37756439381153e-103,0.251743226920837,0.288,0.012,9.94053026422165e-99,Pericentral (PC) hepatocytes(Liver),Cyp2c50
Pecr,1.1684173960257e-102,0.323122937008903,0.339,0.018,1.57432559940503e-98,Pericentral (PC) hepatocytes(Liver),Pecr
Bphl1,4.48091476471401e-100,0.345074904830564,0.39,0.026,6.03758455397565e-96,Pericentral (PC) hepatocytes(Liver),Bphl
Apoc12,6.93415825563709e-100,1.51413000387042,0.983,0.289,9.34308483364541e-96,Pericentral (PC) hepatocytes(Liver),Apoc1
Atf5,2.37662804322022e-98,0.299415868535616,0.322,0.017,3.20226862543492e-94,Pericentral (PC) hepatocytes(Liver),Atf5
Cyb5a1,5.23374259474195e-98,1.12937393412707,0.941,0.253,7.0519447721553e-94,Pericentral (PC) hepatocytes(Liver),Cyb5a
Pcyt21,2.06269043223055e-97,0.352187243122387,0.415,0.03,2.77926908838744e-93,Pericentral (PC) hepatocytes(Liver),Pcyt2
Hrg1,2.7993284890322e-95,0.334215655343657,0.356,0.022,3.77181520612198e-91,Pericentral (PC) hepatocytes(Liver),Hrg
Scp2-ps21,6.63598211480071e-94,0.264646631756745,0.297,0.015,8.94132230148248e-90,Pericentral (PC) hepatocytes(Liver),Scp2-ps2
Rnase41,1.07641179810535e-93,0.401832542882364,0.483,0.044,1.45035725676715e-89,Pericentral (PC) hepatocytes(Liver),Rnase4
Alb1,5.37067211084774e-92,1.28162844987135,0.941,0.251,7.23644360215624e-88,Pericentral (PC) hepatocytes(Liver),Alb
Sult1a12,3.6010192560455e-89,0.63412399737802,0.653,0.093,4.8520133455957e-85,Pericentral (PC) hepatocytes(Liver),Sult1a1
Mpc21,6.42198237018521e-84,0.591770359205177,0.695,0.113,8.65297904558755e-80,Pericentral (PC) hepatocytes(Liver),Mpc2
Hadh1,1.20264665384323e-83,0.291007683560288,0.356,0.026,1.62044610138836e-79,Pericentral (PC) hepatocytes(Liver),Hadh
Etfa1,5.3645101180672e-82,0.457859805821434,0.517,0.06,7.22814093308374e-78,Pericentral (PC) hepatocytes(Liver),Etfa
Asl1,6.21418090686388e-80,0.348589308051513,0.39,0.033,8.37298735390839e-76,Pericentral (PC) hepatocytes(Liver),Asl
Gchfr1,1.70878113434761e-79,0.337175196680378,0.356,0.028,2.30241170041997e-75,Pericentral (PC) hepatocytes(Liver),Gchfr
Aldh7a11,3.00052878543046e-78,0.328118763927344,0.373,0.031,4.04291248548901e-74,Pericentral (PC) hepatocytes(Liver),Aldh7a1
Fmo1,1.20419029568019e-77,0.362063999261765,0.432,0.043,1.62252600439949e-73,Pericentral (PC) hepatocytes(Liver),Fmo1
Glo1,2.25312462541554e-77,0.2965118504768,0.381,0.033,3.0358601202849e-73,Pericentral (PC) hepatocytes(Liver),Glo1
Hist1h2bc1,3.61289302684553e-77,0.543288537364839,0.627,0.098,4.86801206437166e-73,Pericentral (PC) hepatocytes(Liver),Hist1h2bc
Nit2,6.00374929308202e-77,0.276624435772523,0.314,0.022,8.08945179749872e-73,Pericentral (PC) hepatocytes(Liver),Nit2
Decr1,1.53986950252315e-76,0.283684875240936,0.347,0.027,2.07482016769969e-72,Pericentral (PC) hepatocytes(Liver),Decr1
Mup31,3.85159554325344e-76,0.641803630526267,0.636,0.105,5.18963983497968e-72,Pericentral (PC) hepatocytes(Liver),Mup3
Hebp11,4.88558264970921e-76,0.513749720586667,0.551,0.076,6.58283406221819e-72,Pericentral (PC) hepatocytes(Liver),Hebp1
Acadm1,6.61504535419032e-73,0.379538451603579,0.415,0.043,8.91311211023604e-69,Pericentral (PC) hepatocytes(Liver),Acadm
Etfb1,1.0004879240256e-71,0.536111957295413,0.627,0.105,1.34805742883209e-67,Pericentral (PC) hepatocytes(Liver),Etfb
Eci11,1.80086274938808e-71,0.315763715115878,0.356,0.031,2.4264824685255e-67,Pericentral (PC) hepatocytes(Liver),Eci1
Chchd21,5.98216753446935e-69,0.75096330456652,0.78,0.184,8.06037253594401e-65,Pericentral (PC) hepatocytes(Liver),Chchd2
Iah1,1.7024603147187e-68,0.391994531403665,0.441,0.052,2.29389502805197e-64,Pericentral (PC) hepatocytes(Liver),Iah1
Lap3,8.68888196249905e-68,0.333853583366376,0.398,0.042,1.17073995562712e-63,Pericentral (PC) hepatocytes(Liver),Lap3
Abcd3,3.30538144672941e-67,0.268271901127673,0.305,0.024,4.45367096132321e-63,Pericentral (PC) hepatocytes(Liver),Abcd3
Fmo5,3.76192789333137e-67,0.257986882288254,0.246,0.015,5.06882164347468e-63,Pericentral (PC) hepatocytes(Liver),Fmo5
Ethe1,3.8010486909084e-67,0.310825433475296,0.373,0.037,5.12153300612998e-63,Pericentral (PC) hepatocytes(Liver),Ethe1
Apoa11,4.61038567474626e-67,0.859659420794694,0.831,0.227,6.21203365815312e-63,Pericentral (PC) hepatocytes(Liver),Apoa1
Cisd11,3.71922736281294e-66,0.363924646373248,0.415,0.047,5.01128694865416e-62,Pericentral (PC) hepatocytes(Liver),Cisd1
Acadvl1,4.58787210132396e-66,0.309930178267784,0.373,0.037,6.18169886932391e-62,Pericentral (PC) hepatocytes(Liver),Acadvl
Comt,3.43796855247874e-61,0.300565910083352,0.314,0.028,4.63231882760986e-57,Pericentral (PC) hepatocytes(Liver),Comt
Cald1,5.90316662374448e-61,0.284691398180331,0.331,0.032,7.95392670883332e-57,Pericentral (PC) hepatocytes(Liver),Cald1
Slc25a1,1.09456286158304e-60,0.260562745768891,0.297,0.025,1.47481399969698e-56,Pericentral (PC) hepatocytes(Liver),Slc25a1
Adh51,4.20569874423701e-60,0.436004559645116,0.517,0.082,5.66675848798494e-56,Pericentral (PC) hepatocytes(Liver),Adh5
Suclg1,9.5849345824125e-58,0.387610026877319,0.5,0.078,1.29147408563426e-53,Pericentral (PC) hepatocytes(Liver),Suclg1
Aldh21,1.06069952641095e-56,0.804836674316007,0.898,0.355,1.42918654188611e-52,Pericentral (PC) hepatocytes(Liver),Aldh2
Ech1,1.6697622717562e-56,0.416666466572156,0.5,0.081,2.2498376849643e-52,Pericentral (PC) hepatocytes(Liver),Ech1
Prdx6,3.67882019828932e-56,0.592597116384467,0.712,0.176,4.95684233517503e-52,Pericentral (PC) hepatocytes(Liver),Prdx6
Uqcrq1,5.00524150662991e-56,0.567851356763198,0.737,0.189,6.74406240603314e-52,Pericentral (PC) hepatocytes(Liver),Uqcrq
Echs1,3.14318076990997e-53,0.30673710304193,0.398,0.053,4.23512176937669e-49,Pericentral (PC) hepatocytes(Liver),Echs1
Dap1,3.14682109656111e-53,0.365754575599522,0.449,0.068,4.24002674550645e-49,Pericentral (PC) hepatocytes(Liver),Dap
Ccs1,3.31721065826943e-53,0.296093730200524,0.339,0.039,4.46960964095223e-49,Pericentral (PC) hepatocytes(Liver),Ccs
Gpx12,3.82362990692605e-53,0.972762153916999,0.924,0.359,5.15195893659216e-49,Pericentral (PC) hepatocytes(Liver),Gpx1
Ppa1,2.21189007581963e-52,0.301692222037522,0.314,0.034,2.98030068815937e-48,Pericentral (PC) hepatocytes(Liver),Ppa1
Mdh12,2.54361881116785e-52,0.593379610255475,0.653,0.157,3.42727198616756e-48,Pericentral (PC) hepatocytes(Liver),Mdh1
Ak3,4.24124280435623e-52,0.251006956784982,0.288,0.028,5.71465055458959e-48,Pericentral (PC) hepatocytes(Liver),Ak3
Prdx12,1.18068440917923e-46,0.8298020181561,0.831,0.317,1.5908541729281e-42,Pericentral (PC) hepatocytes(Liver),Prdx1
Aldh9a1,4.01661862855955e-45,0.310875486096417,0.373,0.055,5.41199194012113e-41,Pericentral (PC) hepatocytes(Liver),Aldh9a1
Uqcrfs1,2.07508153938059e-44,0.445694470192859,0.559,0.127,2.7959648661614e-40,Pericentral (PC) hepatocytes(Liver),Uqcrfs1
Trf1,3.01365968764227e-44,0.59200643318864,0.831,0.321,4.0606050631292e-40,Pericentral (PC) hepatocytes(Liver),Trf
Serpina3k1,9.83857753557168e-44,0.462178898731022,0.568,0.131,1.32564993714293e-39,Pericentral (PC) hepatocytes(Liver),Serpina3k
Ndufa42,5.66780467380334e-42,0.597807953199528,0.771,0.268,7.63680001748261e-38,Pericentral (PC) hepatocytes(Liver),Ndufa4
Glud11,3.77806810678222e-41,0.424939900900746,0.619,0.16,5.09056896707836e-37,Pericentral (PC) hepatocytes(Liver),Glud1
