"","spot_coordinates","cluster_id"
"1","14x58","0"
"2","14x62","0"
"3","15x57","0"
"4","15x59","0"
"5","15x61","3"
"6","16x58","0"
"7","16x60","1"
"8","16x62","3"
"9","17x57","0"
"10","17x59","1"
"11","17x61","1"
"12","18x50","5"
"13","18x52","1"
"14","18x54","0"
"15","18x56","3"
"16","18x58","3"
"17","18x60","1"
"18","18x62","2"
"19","19x39","0"
"20","19x41","1"
"21","19x43","1"
"22","19x45","0"
"23","19x47","0"
"24","19x49","3"
"25","19x51","0"
"26","19x53","0"
"27","19x55","1"
"28","19x57","1"
"29","19x59","1"
"30","19x61","2"
"31","20x34","0"
"32","20x36","0"
"33","20x38","0"
"34","20x40","0"
"35","20x42","1"
"36","20x44","0"
"37","20x46","2"
"38","20x48","0"
"39","20x50","5"
"40","20x52","0"
"41","20x54","0"
"42","20x56","0"
"43","20x58","0"
"44","20x60","0"
"45","20x62","2"
"46","21x33","0"
"47","21x35","0"
"48","21x37","3"
"49","21x39","1"
"50","21x41","1"
"51","21x43","2"
"52","21x45","2"
"53","21x47","5"
"54","21x49","5"
"55","21x51","5"
"56","21x53","0"
"57","21x55","1"
"58","21x57","2"
"59","21x59","3"
"60","21x61","0"
"61","22x32","0"
"62","22x34","0"
"63","22x36","0"
"64","22x38","3"
"65","22x40","0"
"66","22x42","3"
"67","22x44","0"
"68","22x46","0"
"69","22x48","3"
"70","22x50","0"
"71","22x52","0"
"72","22x54","2"
"73","22x56","0"
"74","22x58","2"
"75","22x60","0"
"76","22x62","3"
"77","23x29","0"
"78","23x31","3"
"79","23x33","0"
"80","23x35","1"
"81","23x37","0"
"82","23x39","0"
"83","23x41","0"
"84","23x43","0"
"85","23x45","0"
"86","23x47","0"
"87","23x49","0"
"88","23x51","0"
"89","23x53","2"
"90","23x55","3"
"91","23x57","3"
"92","23x59","2"
"93","23x61","1"
"94","24x26","0"
"95","24x28","0"
"96","24x30","0"
"97","24x32","2"
"98","24x34","2"
"99","24x36","1"
"100","24x38","0"
"101","24x40","3"
"102","24x42","0"
"103","24x44","0"
"104","24x46","5"
"105","24x48","0"
"106","24x50","2"
"107","24x52","2"
"108","24x54","3"
"109","24x56","0"
"110","24x58","0"
"111","24x60","0"
"112","24x62","1"
