"","spot_coordinates","cluster_id"
"319","40x48","1"
"320","40x50","0"
"321","40x52","1"
"322","41x17","0"
"323","41x19","2"
"324","41x21","0"
"325","41x23","0"
"326","41x25","1"
"327","41x27","0"
"328","41x29","0"
"329","41x31","0"
"330","41x33","1"
"331","41x35","0"
"332","41x37","1"
"333","41x39","3"
"334","41x41","0"
"335","41x43","2"
"336","41x45","5"
"337","41x47","0"
"338","41x49","0"
"339","41x51","1"
"340","42x16","0"
"341","42x18","0"
"342","42x20","1"
"343","42x22","0"
"344","42x24","1"
"345","42x26","1"
"346","42x28","0"
"347","42x30","2"
"348","42x32","1"
"349","42x34","0"
"350","42x36","1"
"351","42x38","1"
"352","42x40","2"
"353","42x42","2"
"354","42x44","5"
"355","42x46","0"
"356","42x48","0"
"357","42x50","0"
"358","43x17","0"
"359","43x19","1"
"360","43x21","0"
"361","43x23","3"
"362","43x25","4"
"363","43x27","0"
"364","43x29","0"
"365","43x31","0"
"366","43x33","1"
"367","43x35","2"
"368","43x37","0"
"369","43x39","2"
"370","43x41","3"
"371","43x43","0"
"372","43x45","0"
"373","43x47","0"
"374","43x49","0"
"375","44x18","0"
"376","44x20","1"
"377","44x22","2"
"378","44x24","0"
"379","44x26","2"
"380","44x28","1"
"381","44x30","0"
"382","44x32","0"
"383","44x34","0"
"384","44x36","0"
"385","44x38","2"
"386","44x40","3"
"387","44x42","0"
"388","44x44","0"
"389","45x19","0"
"390","45x21","1"
"391","45x23","1"
"392","45x25","0"
"393","45x27","0"
"394","45x29","0"
"395","45x31","2"
"396","45x33","0"
"397","45x35","2"
"398","45x37","0"
"399","45x39","0"
"400","45x41","0"
"401","45x43","0"
"402","46x18","0"
"403","46x20","0"
"404","46x22","3"
"405","46x24","1"
"406","46x26","1"
"407","46x28","0"
"408","46x30","3"
"409","46x32","0"
"410","46x34","0"
"411","46x36","0"
"412","46x38","0"
"413","46x40","0"
"414","46x42","0"
"415","46x44","0"
"416","47x19","2"
"417","47x21","0"
