	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
10x36	3.8995657e-10	3.89625e-10	3.9036513e-10	3.8959677e-10	3.9047832e-10	3.9004064e-10	3.8999526e-10	3.8955292e-10	3.9005776e-10	0.009211213	3.8976025e-10	3.898718e-10	3.8981157e-10	3.8955514e-10	3.8973055e-10	0.53312093	0.45766783	3.898071e-10	3.9020878e-10	3.8965028e-10
10x38	1.7740924e-10	1.7766999e-10	1.7736324e-10	1.7768254e-10	1.7749421e-10	1.7763034e-10	1.7746644e-10	1.7767034e-10	1.7730405e-10	1.7762053e-10	1.7746508e-10	1.7739198e-10	1.7806014e-10	1.7754093e-10	0.002541122	0.47101572	0.5264432	1.7745966e-10	1.7751721e-10	1.775521e-10
10x40	1.524738e-10	1.5231946e-10	1.5254886e-10	1.5244268e-10	1.524805e-10	1.526059e-10	1.5240344e-10	1.5263704e-10	1.5250086e-10	1.5231162e-10	1.5244503e-10	1.5246131e-10	1.5249417e-10	1.5247643e-10	1.524363e-10	0.43436092	0.5656391	1.5261463e-10	1.5240431e-10	1.5246363e-10
10x42	1.9995565e-10	1.9990036e-10	1.9993202e-10	1.9952781e-10	2.0000104e-10	1.998085e-10	1.9959329e-10	1.9983099e-10	1.9988244e-10	1.9978373e-10	1.9971438e-10	0.014340113	1.9982108e-10	1.9995107e-10	0.003265455	0.38129523	0.5952181	0.005878797	1.9995985e-10	2.2116296e-06
10x44	1.6453637e-10	1.6447141e-10	1.6428987e-10	1.6444977e-10	0.007897938	1.6441935e-10	0.0007448294	1.6437231e-10	0.001353907	0.005164128	1.6463776e-10	1.6453887e-10	1.6467953e-10	1.646365e-10	1.6466477e-10	0.45894882	0.52589035	1.6440523e-10	1.6442311e-10	1.643557e-10
10x46	3.2642436e-10	3.2683867e-10	3.266411e-10	3.262339e-10	3.2659003e-10	3.2596645e-10	3.2615616e-10	3.2672212e-10	3.2605785e-10	0.008943395	3.2622333e-10	3.2667352e-10	3.2613e-10	3.2656697e-10	3.2601558e-10	0.38661945	0.6044371	3.261064e-10	3.2615985e-10	3.2641687e-10
10x48	1.1185813e-10	1.11678194e-10	1.1177238e-10	1.1162687e-10	1.1169716e-10	1.1157707e-10	1.1178518e-10	1.11674996e-10	1.11786885e-10	0.003426461	1.1180182e-10	1.11686924e-10	1.1158621e-10	1.1170781e-10	1.1204945e-10	0.4994769	0.4943641	1.11743614e-10	1.11820574e-10	0.00273254
11x35	4.6464735e-10	4.6390972e-10	4.6435325e-10	4.6450735e-10	4.6400614e-10	4.634613e-10	4.6417525e-10	4.6448786e-10	4.644427e-10	4.6399554e-10	4.6445509e-10	4.6385928e-10	4.6430274e-10	4.6441434e-10	4.6436205e-10	0.551772	0.44822797	4.639876e-10	4.6421952e-10	4.6375134e-10
11x37	2.6416436e-10	2.6374095e-10	2.6395383e-10	2.6418148e-10	2.6372837e-10	2.6357047e-10	2.6402833e-10	2.641704e-10	2.6415728e-10	2.6417746e-10	2.6391506e-10	0.011545384	2.6420213e-10	2.6403588e-10	2.6383049e-10	0.47207993	0.51637465	2.6385666e-10	2.6394675e-10	2.6403588e-10
11x39	2.955182e-10	2.9498542e-10	2.9487127e-10	2.9482064e-10	2.9526181e-10	2.950586e-10	2.9487968e-10	2.9525674e-10	2.9462222e-10	2.9488811e-10	2.953621e-10	2.9468572e-10	2.9477004e-10	2.946683e-10	0.0030633118	0.47452465	0.52241206	2.9471664e-10	2.9468178e-10	2.9497083e-10
11x41	2.2950333e-10	2.2977621e-10	2.2943417e-10	2.2944556e-10	2.2935892e-10	2.297293e-10	2.2934185e-10	2.2941535e-10	2.2938647e-10	2.2982224e-10	2.3005424e-10	2.295817e-10	2.2981259e-10	2.2983099e-10	2.2933616e-10	0.38839093	0.6116091	2.296693e-10	2.2969296e-10	2.2971573e-10
11x43	1.259209e-10	1.2576104e-10	1.2591538e-10	1.259382e-10	1.2583351e-10	1.2587696e-10	1.2577736e-10	1.2569894e-10	1.2577736e-10	1.2574258e-10	1.2581672e-10	1.2567761e-10	1.2570421e-10	1.2565196e-10	1.2573587e-10	0.47715977	0.52284026	1.2577783e-10	1.259245e-10	1.2581791e-10
11x45	1.6799866e-10	0.00977516	1.6774025e-10	1.6799481e-10	0.004983235	1.6774507e-10	1.6760018e-10	1.6798007e-10	1.6791599e-10	1.6786285e-10	1.6802942e-10	1.6793905e-10	1.6764685e-10	1.6799609e-10	1.6781836e-10	0.37651765	0.60872394	1.6785132e-10	1.6760977e-10	1.6815765e-10
11x47	1.1609866e-10	1.1625466e-10	1.1627617e-10	1.1609246e-10	1.1612058e-10	1.1597959e-10	1.16119704e-10	1.161866e-10	1.1604155e-10	1.161547e-10	1.16103314e-10	1.1611637e-10	1.1604021e-10	1.16229165e-10	1.1612346e-10	0.39034554	0.6096544	1.15974265e-10	1.1605968e-10	1.1616689e-10
11x49	2.1336266e-10	2.1368116e-10	2.131345e-10	2.1329676e-10	2.1315076e-10	2.1335657e-10	2.1333865e-10	2.1349945e-10	2.1309222e-10	2.1326665e-10	2.1311013e-10	2.1347747e-10	2.1358254e-10	2.1321907e-10	0.008042385	0.5318847	0.4600729	2.1349295e-10	2.1322435e-10	2.1315322e-10
12x36	1.7489096e-10	1.750812e-10	1.7510224e-10	1.7499473e-10	1.752272e-10	1.7496538e-10	1.7512196e-10	1.7527299e-10	1.7485494e-10	1.749737e-10	1.7517875e-10	1.7489529e-10	1.7531847e-10	1.7502276e-10	1.7531379e-10	0.5606029	0.4393971	1.7505918e-10	1.7528236e-10	1.750675e-10
12x38	2.4361424e-10	2.4392904e-10	2.4384111e-10	2.4338667e-10	2.4369373e-10	2.435088e-10	2.4372998e-10	2.437151e-10	2.4355665e-10	0.009030309	2.436626e-10	0.018932162	2.4366723e-10	2.4348742e-10	2.4393743e-10	0.3727707	0.5874593	0.00566127	2.4367605e-10	0.0061461967
12x40	8.4823343e-10	8.471259e-10	8.489391e-10	8.488533e-10	8.481218e-10	8.478064e-10	8.494639e-10	8.496323e-10	8.493537e-10	8.482463e-10	8.4952223e-10	8.487885e-10	8.4937796e-10	8.4779345e-10	8.501122e-10	0.42489937	0.57510066	8.4944923e-10	8.49195e-10	8.5008145e-10
12x42	1.3266109e-10	1.3282263e-10	1.3286469e-10	1.3275729e-10	1.3255538e-10	1.3256878e-10	1.326978e-10	1.3271348e-10	1.3274538e-10	1.3268311e-10	1.3272235e-10	1.3264541e-10	1.3264718e-10	1.3285936e-10	1.3283404e-10	0.52675337	0.4732466	1.3255765e-10	1.3256271e-10	1.3272183e-10
12x44	1.4607182e-10	1.4576315e-10	1.4594427e-10	1.4571536e-10	1.4599327e-10	1.4583909e-10	1.45657e-10	1.459476e-10	1.4570174e-10	0.00887975	1.4590446e-10	1.4588525e-10	1.4606039e-10	1.4576454e-10	1.4571702e-10	0.4544902	0.53663003	1.4573204e-10	1.4573343e-10	1.4592144e-10
12x46	1.4805988e-10	1.4806467e-10	1.4805338e-10	1.4809659e-10	1.4807315e-10	1.4827663e-10	1.4797123e-10	1.4805197e-10	1.4833348e-10	0.004675813	1.4810618e-10	1.4804633e-10	1.4812428e-10	1.4819973e-10	1.4826644e-10	0.45116213	0.5441621	1.4800566e-10	1.4813557e-10	1.4822743e-10
12x48	0.003141194	1.06008625e-10	1.0594374e-10	1.05772315e-10	1.0596031e-10	1.0576404e-10	1.0570496e-10	1.05842744e-10	1.0588152e-10	1.05854464e-10	1.05875045e-10	0.0060951286	1.05997905e-10	1.0580581e-10	1.05877876e-10	0.47968152	0.5110821	1.0576001e-10	1.0588212e-10	1.0579935e-10
12x50	0.0033655153	1.3182248e-10	1.3167877e-10	1.3177573e-10	1.317986e-10	1.317697e-10	1.3167398e-10	1.3183885e-10	1.3159089e-10	1.3164736e-10	1.3171066e-10	1.3175111e-10	1.3179058e-10	1.3176418e-10	1.317408e-10	0.4894497	0.50544816	0.0017365715	1.3195155e-10	1.3187279e-10
13x37	5.0806687e-10	5.0906507e-10	5.088893e-10	5.079506e-10	5.0904947e-10	5.087244e-10	5.077085e-10	5.07939e-10	5.082152e-10	0.011833506	5.0854293e-10	5.086574e-10	5.0798743e-10	5.083325e-10	5.082433e-10	0.48757955	0.5005869	5.086797e-10	5.083742e-10	5.090757e-10
13x39	1.6737585e-10	1.6767589e-10	1.675445e-10	0.0040859766	1.6726225e-10	1.676647e-10	0.0008626206	1.6763207e-10	1.6762762e-10	1.6742278e-10	1.676874e-10	1.6769636e-10	1.6760555e-10	1.6775363e-10	1.6734904e-10	0.42354742	0.57150394	1.676033e-10	1.6734521e-10	1.6735927e-10
13x41	1.2042746e-10	1.2072182e-10	1.2049178e-10	1.2044124e-10	0.0020061226	1.2051524e-10	1.2036316e-10	1.2059731e-10	1.2066796e-10	0.0034093985	1.2047294e-10	1.2046214e-10	1.2045134e-10	1.204626e-10	1.2042538e-10	0.50872475	0.48585975	1.2050878e-10	1.2069534e-10	1.2037142e-10
13x43	1.4451658e-10	1.4456318e-10	1.4467627e-10	1.4437194e-10	0.005419422	1.4435432e-10	1.4452706e-10	1.4448849e-10	1.4441547e-10	1.4464206e-10	1.445323e-10	0.0055508767	1.4441105e-10	1.446324e-10	1.4436727e-10	0.55638075	0.43264896	1.4431799e-10	1.4444934e-10	1.4443281e-10
