	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
12x46	2.980441e-10	2.9828467e-10	2.986832e-10	2.9811517e-10	2.9845823e-10	2.9826874e-10	2.98097e-10	2.9832395e-10	2.979543e-10	2.9808275e-10	2.986678e-10	0.015629094	2.9861996e-10	2.9869401e-10	2.9803898e-10	0.37232265	0.61204827	2.98702e-10	2.9875896e-10	2.983154e-10
12x48	1.8787127e-10	1.8824754e-10	1.880993e-10	1.8806129e-10	1.8830358e-10	1.882321e-10	1.8773909e-10	1.8813483e-10	1.8821272e-10	1.8808281e-10	1.8820842e-10	1.8784868e-10	1.8806953e-10	1.8806452e-10	1.882723e-10	0.35204	0.64796	1.8828704e-10	1.8811043e-10	1.8831145e-10
12x50	2.991378e-10	2.9976724e-10	2.9940495e-10	2.9910527e-10	2.9883954e-10	2.9897979e-10	2.9938899e-10	2.9953462e-10	2.9896954e-10	2.9902314e-10	2.9962946e-10	2.996466e-10	2.9963573e-10	2.991652e-10	0.01769217	0.4669001	0.51540774	2.9962888e-10	2.9946665e-10	2.9933472e-10
12x52	3.5191677e-10	3.5182215e-10	3.5132725e-10	3.5106335e-10	3.5155984e-10	3.5176778e-10	3.5157932e-10	3.5201006e-10	3.516276e-10	3.518114e-10	3.5133862e-10	0.0032410296	0.0021573703	3.520181e-10	3.5114436e-10	0.49124417	0.50335735	3.512502e-10	3.5196307e-10	3.5129039e-10
12x54	1.1420235e-09	1.142176e-09	1.1420256e-09	1.1417949e-09	1.1430717e-09	1.1426337e-09	1.1406042e-09	1.1424353e-09	1.1410786e-09	1.1406825e-09	1.1435624e-09	1.1416228e-09	1.1402561e-09	1.1417426e-09	1.1432113e-09	0.45081678	0.53610605	0.013077212	1.143617e-09	1.1436889e-09
13x37	4.983526e-10	4.9802e-10	4.982119e-10	4.982195e-10	4.9841153e-10	4.985532e-10	4.9901555e-10	4.9857984e-10	4.983535e-10	4.983222e-10	4.9879e-10	4.9858934e-10	4.988224e-10	4.9790605e-10	0.015849018	0.44561785	0.5385331	4.9804944e-10	4.9814824e-10	4.979772e-10
13x39	0.004124858	1.4698964e-10	1.467535e-10	1.470303e-10	1.4700059e-10	1.4693809e-10	1.4704124e-10	1.4701096e-10	1.4698881e-10	1.4675994e-10	1.4693163e-10	1.4669108e-10	1.4713356e-10	1.4682294e-10	0.005909438	0.47828808	0.50948066	0.0021970444	1.4700985e-10	1.4677169e-10
13x41	1.5837948e-10	1.5815639e-10	1.5840153e-10	1.5812561e-10	1.5822639e-10	1.5822277e-10	1.5825447e-10	1.583556e-10	1.5822187e-10	1.5814614e-10	1.5835441e-10	1.5849219e-10	1.5825807e-10	1.5836224e-10	1.5840002e-10	0.45042884	0.54957116	1.5851094e-10	1.5833236e-10	1.5853936e-10
13x43	0.0058555254	2.0078318e-10	2.0094908e-10	2.0083181e-10	2.0055428e-10	2.0060555e-10	2.0032873e-10	2.0069815e-10	2.0088851e-10	2.0039942e-10	2.0077781e-10	0.007858104	2.0103685e-10	2.0088237e-10	2.0051145e-10	0.4904778	0.49580857	2.0068593e-10	2.0060327e-10	2.0048736e-10
13x45	1.4461257e-10	1.4458804e-10	1.4450531e-10	1.444287e-10	1.4425335e-10	1.4458305e-10	1.4440502e-10	1.4439455e-10	1.4427755e-10	1.4436013e-10	1.4459685e-10	1.444571e-10	1.4448574e-10	1.4458774e-10	1.4430067e-10	0.5504607	0.4495393	1.4461533e-10	1.4459188e-10	1.4461947e-10
13x47	2.541705e-10	2.5493374e-10	2.545931e-10	2.5403624e-10	2.5444408e-10	2.5446253e-10	2.540537e-10	2.545329e-10	2.5409586e-10	2.5424177e-10	2.5483068e-10	2.5441205e-10	2.5429853e-10	2.5434752e-10	2.5426844e-10	0.4335221	0.559921	2.5451835e-10	2.5422575e-10	0.0065568914
13x49	2.6794697e-10	2.679097e-10	2.6820723e-10	2.67235e-10	2.674594e-10	2.6746652e-10	2.677166e-10	2.6767372e-10	2.6748895e-10	2.677304e-10	2.6794497e-10	2.6773447e-10	2.679715e-10	2.679337e-10	2.676691e-10	0.40861845	0.59138155	2.6793884e-10	2.6733848e-10	2.6786934e-10
13x51	1.5719255e-10	1.5745721e-10	1.5715808e-10	1.5708257e-10	1.5720963e-10	1.5743949e-10	1.5742359e-10	1.5735784e-10	1.5723034e-10	1.5730803e-10	1.5736475e-10	1.5739265e-10	1.5748156e-10	1.5748065e-10	1.5736175e-10	0.4118739	0.58812606	1.5709335e-10	1.5749385e-10	1.5744249e-10
13x53	3.0997144e-10	3.0993655e-10	3.0949704e-10	3.0968422e-10	3.095673e-10	3.0962755e-10	3.101311e-10	3.0977756e-10	3.0960037e-10	3.0959738e-10	3.1028077e-10	3.099306e-10	3.098585e-10	3.099862e-10	3.099673e-10	0.48259917	0.51075935	0.0066414927	3.102228e-10	3.101293e-10
13x55	7.1802464e-10	7.186344e-10	0.02905528	7.17948e-10	7.1844525e-10	7.188181e-10	7.187728e-10	7.186851e-10	7.1773165e-10	7.179726e-10	7.184178e-10	7.1777817e-10	7.1919937e-10	7.1803974e-10	7.1911155e-10	0.4650663	0.5058784	7.186029e-10	7.183932e-10	7.181561e-10
14x32	4.7167886e-10	4.713434e-10	4.7163745e-10	4.7190113e-10	4.713515e-10	4.7187143e-10	4.717859e-10	4.7172927e-10	4.7153226e-10	4.717634e-10	4.714531e-10	4.711861e-10	4.7166715e-10	4.7104054e-10	4.709067e-10	0.60016775	0.3998323	4.7087073e-10	4.7195875e-10	4.7077287e-10
14x34	3.1287614e-10	3.1280992e-10	3.126602e-10	3.130803e-10	3.132105e-10	3.1320874e-10	3.1245273e-10	3.1270372e-10	3.1312333e-10	3.1257433e-10	3.133563e-10	3.1261607e-10	3.1317587e-10	3.1297345e-10	0.0077187787	0.43307957	0.55920166	3.1257136e-10	3.1287437e-10	3.1271147e-10
14x36	1.8943117e-10	1.8943659e-10	1.8954754e-10	1.8966904e-10	1.8964844e-10	1.8945899e-10	1.8955983e-10	1.8941852e-10	1.8963216e-10	1.8970706e-10	1.8971827e-10	1.8952874e-10	1.898254e-10	0.0062138923	1.8979354e-10	0.4334776	0.5603085	1.8973743e-10	1.8977869e-10	1.8935133e-10
14x38	1.2675679e-10	1.268216e-10	1.269891e-10	1.2673382e-10	0.002663841	1.2664128e-10	1.2684e-10	1.2690606e-10	1.2666616e-10	1.2699468e-10	1.2696513e-10	1.2670434e-10	1.2675389e-10	1.267464e-10	1.2679861e-10	0.4426024	0.55473375	1.2680589e-10	1.2670603e-10	1.2685233e-10
14x40	2.949397e-10	2.9543404e-10	2.9527464e-10	2.9481598e-10	2.9527855e-10	2.9439848e-10	2.9484465e-10	2.95135e-10	2.946428e-10	2.9466532e-10	2.9518174e-10	2.949217e-10	0.011193693	2.9467265e-10	2.9478786e-10	0.5179177	0.4708886	2.9542166e-10	2.953107e-10	2.9519523e-10
14x42	1.8859865e-10	1.8841888e-10	1.886404e-10	1.8860907e-10	1.883136e-10	1.8856158e-10	1.8856194e-10	1.8871128e-10	1.8820015e-10	1.8835276e-10	1.8854289e-10	1.8838546e-10	1.8872603e-10	1.8879698e-10	1.8824789e-10	0.30752122	0.6890395	0.0034392292	1.8833803e-10	1.8821952e-10
14x44	1.2875354e-10	1.2880266e-10	1.2853564e-10	1.2853515e-10	1.2851432e-10	1.2877736e-10	1.2867694e-10	1.2858126e-10	1.2856409e-10	1.2871351e-10	1.2881815e-10	1.288297e-10	1.2874493e-10	1.2855747e-10	1.2852364e-10	0.537647	0.45793608	1.2875427e-10	1.2869167e-10	0.0044169393
14x46	2.4266186e-10	2.4237967e-10	2.4227526e-10	2.425397e-10	2.4241853e-10	2.4235103e-10	2.4230756e-10	2.4254063e-10	2.4246108e-10	2.4230065e-10	2.4222901e-10	2.4252908e-10	2.4218466e-10	2.4270813e-10	2.4229188e-10	0.44072014	0.55927986	2.4249808e-10	2.422438e-10	2.4212923e-10
14x48	2.6095587e-10	2.6138375e-10	2.6125116e-10	2.6134836e-10	2.615463e-10	2.6112715e-10	2.6087674e-10	2.6147004e-10	2.6162914e-10	2.6138275e-10	2.613354e-10	2.6138325e-10	2.6145555e-10	2.6114758e-10	0.004479281	0.43111908	0.5644017	2.614755e-10	2.6148547e-10	2.6150393e-10
14x50	1.2474295e-10	1.2458293e-10	1.2452686e-10	1.246326e-10	1.2447818e-10	1.2468349e-10	1.2461501e-10	0.003738777	1.2451427e-10	1.2444992e-10	1.2457961e-10	1.2463593e-10	1.2476865e-10	1.2461501e-10	1.2477007e-10	0.46729964	0.5289616	1.2451569e-10	1.2477865e-10	1.2444969e-10
14x52	1.6010869e-10	1.6030179e-10	1.603764e-10	1.6041099e-10	1.6042016e-10	1.6021652e-10	1.6032595e-10	1.6015388e-10	1.6007662e-10	1.6037183e-10	1.6045415e-10	1.6012333e-10	0.0056062024	1.6036326e-10	1.606011e-10	0.49671644	0.4976773	1.6014685e-10	1.6049545e-10	1.6031647e-10
14x54	1.2406932e-09	1.2402035e-09	1.2412874e-09	1.2373044e-09	1.2392931e-09	1.2395058e-09	1.2393002e-09	1.2412708e-09	1.2393758e-09	1.2385085e-09	1.2410104e-09	0.04173723	1.2388582e-09	1.2409678e-09	1.2406317e-09	0.43139884	0.5268639	1.2385936e-09	1.2382771e-09	1.2393214e-09
15x29	5.1328136e-10	5.144693e-10	5.1350757e-10	5.1420146e-10	5.1325194e-10	5.1306304e-10	5.136525e-10	5.1386223e-10	5.136006e-10	5.14225e-10	5.135947e-10	5.139073e-10	5.141387e-10	5.140671e-10	5.1363686e-10	0.5546187	0.44538125	5.1422794e-10	5.1375737e-10	5.140995e-10
15x31	1.3430929e-10	1.3432723e-10	1.3411652e-10	1.340416e-10	1.3429392e-10	1.3415362e-10	1.3421302e-10	1.3426933e-10	1.3402013e-10	1.3412522e-10	1.3428009e-10	0.0109370295	1.3435746e-10	1.34234e-10	1.3424398e-10	0.3780086	0.61105436	1.3415517e-10	1.3406973e-10	1.3434798e-10
15x33	1.9531542e-10	1.953769e-10	1.9566106e-10	1.9556405e-10	0.0054982617	1.9568419e-10	1.9554539e-10	1.9532657e-10	1.9540931e-10	1.9534598e-10	1.9551033e-10	1.955648e-10	1.9545553e-10	1.9519995e-10	1.9557339e-10	0.62836313	0.36613855	1.9526625e-10	1.9546373e-10	1.9557897e-10
15x35	1.9148498e-10	1.91282e-10	1.9125028e-10	1.9141706e-10	1.9153355e-10	1.9144482e-10	1.9105194e-10	1.9126159e-10	1.911015e-10	1.912397e-10	1.913652e-10	1.9109675e-10	1.9139296e-10	1.9140575e-10	1.916187e-10	0.5136564	0.48634365	1.9155622e-10	1.9134004e-10	1.9141741e-10
15x37	1.4334993e-10	1.4319854e-10	1.4339123e-10	1.433781e-10	1.4328132e-10	1.4313138e-10	1.433677e-10	1.4333873e-10	1.432764e-10	1.4329936e-10	1.4327586e-10	1.4310952e-10	1.4348808e-10	1.4341038e-10	1.430383e-10	0.42913285	0.5708671	1.4324662e-10	1.4313574e-10	1.431401e-10
15x39	1.4086554e-10	1.4083976e-10	1.4075086e-10	1.4065854e-10	1.4081826e-10	1.4075031e-10	1.4066015e-10	1.4081235e-10	1.4093327e-10	1.4076348e-10	1.4071677e-10	0.0079141585	1.408838e-10	1.4075757e-10	0.010815136	0.4364729	0.5447978	1.4069745e-10	1.408779e-10	1.4096121e-10
15x41	3.1667638e-10	3.1603736e-10	3.164524e-10	3.161061e-10	3.1636307e-10	3.15962e-10	3.1618688e-10	3.1646447e-10	3.1594574e-10	0.0077884593	4.2945854e-07	3.16456e-10	3.174432e-10	3.1672773e-10	3.1639263e-10	0.36387518	0.62833583	3.167229e-10	3.1626954e-10	3.1646202e-10
15x43	2.0538e-10	2.0551363e-10	2.0564261e-10	2.0587418e-10	2.0588048e-10	2.0567206e-10	2.0555321e-10	2.0582315e-10	2.0547207e-10	2.0558852e-10	2.0551677e-10	0.010115296	2.0571443e-10	2.0537648e-10	2.0594015e-10	0.44007486	0.5498098	2.0572424e-10	2.056544e-10	2.0540743e-10
15x45	1.7077485e-10	1.7051383e-10	1.7071493e-10	1.7095768e-10	0.005003774	1.7098736e-10	1.7065763e-10	1.7064722e-10	1.7082957e-10	1.7072013e-10	1.7085239e-10	1.7114168e-10	1.7121776e-10	1.7086836e-10	1.7051349e-10	0.47023672	0.5247595	1.7043805e-10	1.7075792e-10	1.7090519e-10
15x47	1.7384819e-10	1.7376961e-10	1.7428645e-10	1.7419007e-10	1.7387937e-10	1.7463452e-10	0.0018320145	1.7392049e-10	0.0033294065	0.0056467815	1.7402833e-10	1.741761e-10	1.7429742e-10	1.7411798e-10	1.7387472e-10	0.38889766	0.6002941	1.7383957e-10	1.7426949e-10	1.7403001e-10
15x49	2.6053815e-10	2.6086436e-10	2.6042588e-10	2.605297e-10	2.6091362e-10	2.6005062e-10	2.6014735e-10	2.602938e-10	2.6035188e-10	2.6050337e-10	2.604845e-10	2.6025654e-10	2.6073305e-10	2.6074695e-10	2.6073102e-10	0.39917737	0.5933115	0.0075110705	2.6071412e-10	2.6080713e-10
15x51	2.0956223e-10	2.1016545e-10	2.0969178e-10	2.0958382e-10	2.0956464e-10	2.0953905e-10	2.0987824e-10	2.0965418e-10	2.0943038e-10	0.0061553814	2.0999236e-10	2.0968137e-10	2.0970937e-10	2.0967937e-10	2.0994992e-10	0.41247335	0.58137125	2.0992068e-10	2.0974537e-10	2.0986825e-10
15x53	2.5641336e-10	2.5640748e-10	2.5639624e-10	2.5645397e-10	2.5673833e-10	2.5642657e-10	2.5595945e-10	2.5647648e-10	2.5676425e-10	0.0050452435	2.5665362e-10	2.5650485e-10	2.5624516e-10	0.0073252474	2.5649163e-10	0.37649316	0.6061827	0.0049537453	2.5664237e-10	2.5635125e-10
15x55	1.2034721e-09	1.207049e-09	1.2062942e-09	1.2060526e-09	1.206147e-09	1.2057996e-09	1.2052568e-09	1.2058616e-09	0.012928964	1.20386e-09	1.2047628e-09	1.2066278e-09	1.2055628e-09	1.2061009e-09	1.2039931e-09	0.4817798	0.50529116	1.2054477e-09	1.2048409e-09	1.2051948e-09
16x28	2.1816297e-10	2.1847237e-10	2.1811056e-10	2.1841737e-10	0.0076422095	2.1790804e-10	2.1829742e-10	2.1830034e-10	2.1853655e-10	2.1798743e-10	2.1817878e-10	2.1851987e-10	2.1798452e-10	2.1829201e-10	2.1849528e-10	0.37851858	0.6138392	2.184982e-10	2.1845778e-10	2.180498e-10
16x30	1.7533855e-10	1.7531313e-10	1.7529239e-10	1.7546835e-10	1.7521952e-10	1.752182e-10	1.7508288e-10	1.7560495e-10	1.7551019e-10	1.7516205e-10	1.7558753e-10	1.7536997e-10	1.7537298e-10	1.753382e-10	1.7546233e-10	0.43238166	0.5676183	1.7549312e-10	1.7531045e-10	1.751547e-10
16x32	1.3377172e-10	1.3364701e-10	1.336131e-10	1.3377503e-10	1.3371969e-10	1.3390905e-10	1.3338675e-10	0.008829163	1.337934e-10	1.3366053e-10	1.3369443e-10	1.340404e-10	1.3378014e-10	1.335703e-10	1.3357106e-10	0.47195455	0.5192163	1.3362635e-10	1.339346e-10	9.478538e-09
