	x	y	new_x	new_y	pixel_x	pixel_y	cluster
4x6	4	6	4.06	5.93	5827.7	6190.3	0
4x8	4	8	4.08	7.94	5836.9	6996.5	0
4x10	4	10	4.07	9.93	5831.2	7795.6	0
5x7	5	7	5.07	6.93	6193.6	6592.5	0
5x9	5	9	5.09	8.95	6200.6	7402.3	0
5x11	5	11	5.07	10.95	6192.4	8201.4	0
5x13	5	13	5.03	12.93	6180.7	8997.8	0
5x15	5	15	5.04	14.94	6184.8	9801.5	0
6x6	6	6	6.07	5.91	6553.4	6182.3	0
6x8	6	8	6.08	7.92	6559.0	6990.2	0
6x10	6	10	6.11	9.91	6567.8	7785.7	1
6x12	6	12	6.05	11.92	6545.9	8593.2	0
6x14	6	14	6.06	13.94	6551.2	9400.9	0
6x16	6	16	6.05	15.94	6547.7	10205.6	0
7x7	7	7	7.05	6.89	6909.1	6576.8	2
7x9	7	9	7.06	8.93	6910.6	7394.3	3
7x11	7	11	7.07	10.94	6915.4	8197.5	0
7x13	7	13	7.04	12.92	6904.0	8993.6	2
7x15	7	15	7.05	14.94	6908.1	9803.1	0
7x17	7	17	7.05	16.95	6909.7	10610.3	3
8x6	8	6	8.03	5.92	7262.5	6187.7	0
8x8	8	8	8.05	7.96	7271.5	7003.0	0
8x10	8	10	8.08	9.95	7279.3	7804.4	0
8x12	8	12	8.02	11.96	7260.2	8606.8	2
8x14	8	14	8.03	13.96	7263.3	9411.5	0
8x16	8	16	8.04	15.94	7265.9	10203.0	0
8x18	8	18	8.02	17.94	7257.6	11005.5	4
8x20	8	20	7.98	19.93	7245.9	11803.3	5
9x7	9	7	9.02	6.93	7620.7	6590.0	3
9x9	9	9	9.06	8.95	7635.3	7402.5	0
9x11	9	11	9.06	10.95	7634.6	8203.8	3
9x13	9	13	9.03	12.95	7623.6	9004.2	0
9x15	9	15	9.02	14.97	7620.7	9814.0	0
9x17	9	17	9.01	16.97	7614.9	10615.9	0
9x19	9	19	9.05	18.92	7629.6	11399.2	0
9x21	9	21	9.03	20.91	7622.5	12197.8	3
9x23	9	23	9.04	22.93	7628.4	13005.9	1
9x25	9	25	9.01	24.92	7617.4	13805.5	0
10x6	10	6	10.08	5.97	8002.2	6207.7	0
10x8	10	8	10.11	8.0	8012.4	7021.8	0
10x10	10	10	10.08	10.02	8002.2	7830.5	0
10x12	10	12	9.96	12.1	7958.5	8666.3	3
10x14	10	14	10.04	13.99	7989.1	9421.3	4
10x16	10	16	10.06	16.01	7994.2	10233.0	0
10x18	10	18	10.05	18.0	7992.6	11031.2	0
10x20	10	20	10.01	19.98	7976.5	11821.5	0
10x22	10	22	10.03	21.99	7985.4	12629.7	1
10x24	10	24	10.05	24.02	7990.9	13443.6	1
11x3	11	3	11.02	3.04	8342.3	5032.5	0
11x5	11	5	10.99	4.99	8333.2	5815.9	4
11x7	11	7	11.06	6.96	8354.9	6603.1	0
11x9	11	9	11.07	9.0	8358.6	7423.1	1
11x11	11	11	11.07	11.02	8359.9	8230.8	0
11x13	11	13	11.02	13.0	8343.6	9024.4	1
11x15	11	15	11.07	15.0	8358.5	9828.0	5
11x17	11	17	11.07	16.97	8361.3	10618.5	0
11x19	11	19	11.04	19.0	8350.9	11431.7	0
11x21	11	21	11.02	20.98	8341.3	12226.0	1
11x23	11	23	11.03	23.0	8347.1	13033.8	1
11x25	11	25	11.06	25.04	8354.9	13850.6	0
12x2	12	2	12.08	2.0	8725.7	4616.3	3
12x4	12	4	12.03	4.0	8705.4	5415.2	1
12x6	12	6	12.06	5.96	8718.8	6202.3	0
12x8	12	8	12.08	8.0	8723.6	7019.9	1
12x10	12	10	12.08	10.0	8723.2	7822.7	1
12x12	12	12	12.02	11.99	8704.2	8619.9	1
12x14	12	14	12.05	13.98	8715.8	9418.4	5
12x16	12	16	12.06	15.99	8718.1	10223.2	5
12x18	12	18	12.06	17.99	8716.9	11025.5	0
12x20	12	20	12.01	19.97	8699.1	11819.1	0
12x22	12	22	12.02	21.98	8704.0	12627.1	1
12x24	12	24	12.03	23.99	8705.5	13431.3	0
12x26	12	26	12.03	26.01	8708.1	14241.7	2
13x3	13	3	13.01	3.0	9062.1	5015.6	0
13x5	13	5	13.04	5.0	9070.6	5819.7	3
13x7	13	7	13.08	6.99	9087.1	6614.2	0
13x9	13	9	13.09	9.01	9089.2	7427.5	0
13x11	13	11	13.07	10.99	9082.6	8220.8	0
13x13	13	13	13.04	12.99	9072.2	9020.6	0
13x15	13	15	13.05	15.0	9076.8	9825.9	0
13x17	13	17	13.05	16.99	9076.8	10623.6	1
13x19	13	19	13.07	18.97	9082.5	11418.8	0
13x21	13	21	13.03	20.97	9066.5	12222.0	1
13x23	13	23	13.02	22.99	9064.9	13029.8	3
13x25	13	25	13.06	24.98	9077.8	13827.8	2
13x27	13	27	13.06	26.94	9078.2	14612.6	0
14x2	14	2	13.99	1.85	9413.8	4555.2	0
14x4	14	4	13.99	3.93	9413.8	5389.6	0
14x6	14	6	14.04	5.91	9432.6	6182.4	2
14x8	14	8	14.07	7.95	9444.5	6999.2	2
14x10	14	10	14.16	9.9	9475.0	7783.9	2
14x12	14	12	14.01	11.92	9421.1	8592.8	2
14x14	14	14	14.03	13.94	9429.5	9401.8	0
14x16	14	16	14.04	15.93	9433.7	10198.2	0
14x18	14	18	14.08	17.93	9447.8	11002.5	0
14x20	14	20	14.03	19.9	9429.5	11792.4	0
14x22	14	22	14.02	21.91	9424.0	12598.6	0
14x24	14	24	14.01	23.93	9422.7	13405.1	2
14x26	14	26	14.05	25.93	9436.8	14208.1	3
15x3	15	3	15.0	2.95	9777.9	4994.4	2
15x5	15	5	14.98	4.91	9772.5	5780.3	0
15x7	15	7	15.06	6.9	9800.4	6579.4	0
15x9	15	9	15.07	8.98	9803.5	7411.9	2
15x11	15	11	15.06	10.96	9801.0	8206.9	2
15x13	15	13	15.02	12.93	9785.6	8996.8	2
15x15	15	15	15.02	14.92	9786.4	9793.6	2
15x17	15	17	15.05	16.94	9798.0	10604.1	0
15x19	15	19	15.08	18.91	9809.8	11392.6	5
15x21	15	21	15.01	20.9	9781.9	12192.3	0
15x23	15	23	15.01	22.91	9783.8	12999.8	2
15x25	15	25	15.02	24.94	9786.6	13810.7	1
15x27	15	27	15.04	26.92	9793.9	14606.3	1
16x2	16	2	16.03	1.92	10149.4	4584.3	0
16x4	16	4	15.98	3.93	10134.1	5388.8	1
16x6	16	6	16.05	5.9	10158.0	6180.2	0
16x8	16	8	16.07	7.93	10165.7	6994.3	1
16x10	16	10	16.01	9.91	10145.4	7787.0	0
16x12	16	12	16.0	11.91	10140.7	8589.7	0
16x14	16	14	16.04	13.93	10156.6	9399.0	2
16x16	16	16	16.03	15.94	10149.4	10202.3	2
16x18	16	18	16.06	17.94	10160.5	11004.0	0
16x20	16	20	16.03	19.94	10150.6	11806.4	0
16x22	16	22	16.02	21.91	10145.9	12595.5	0
16x24	16	24	16.02	23.92	10148.6	13401.6	0
16x26	16	26	16.06	25.9	10163.5	14196.3	1
17x3	17	3	17.0	2.93	10502.6	4986.3	0
17x5	17	5	16.98	4.92	10494.7	5784.4	1
17x7	17	7	17.05	6.91	10521.1	6583.3	1
17x9	17	9	17.06	8.93	10524.6	7392.2	0
17x11	17	11	17.05	10.91	10519.6	8187.4	0
17x13	17	13	17.02	12.92	10509.0	8991.2	0
17x15	17	15	17.02	14.91	10508.7	9790.3	0
17x17	17	17	17.06	16.89	10521.3	10583.5	0
17x19	17	19	17.06	18.88	10522.7	11383.3	5
17x21	17	21	17.01	20.9	10504.3	12193.3	2
17x23	17	23	17.01	22.9	10504.2	12995.7	4
17x25	17	25	17.03	24.9	10510.8	13797.0	0
17x27	17	27	17.05	26.93	10519.5	14610.1	0
18x2	18	2	18.08	2.04	10890.4	4631.1	0
18x4	18	4	18.0	4.03	10863.8	5429.8	0
18x6	18	6	18.07	6.02	10888.1	6226.9	0
18x8	18	8	18.05	8.03	10881.3	7031.1	0
18x10	18	10	18.1	10.04	10898.4	7837.6	0
18x12	18	12	17.96	12.03	10848.2	8634.5	2
18x14	18	14	18.01	14.02	10865.1	9434.5	3
18x16	18	16	18.02	16.04	10871.2	10245.6	2
18x18	18	18	18.05	18.04	10882.2	11044.1	3
18x20	18	20	17.97	20.03	10850.3	11842.8	0
18x22	18	22	17.99	22.03	10858.1	12646.3	0
18x24	18	24	18.04	24.05	10875.9	13453.4	4
18x26	18	26	18.07	26.02	10887.4	14244.6	2
19x3	19	3	19.03	3.05	11234.6	5035.5	0
19x5	19	5	18.99	5.0	11218.2	5817.6	0
19x7	19	7	19.07	6.99	11250.1	6617.2	4
19x9	19	9	19.07	9.04	11248.4	7439.2	4
19x11	19	11	19.04	11.01	11238.8	8228.5	0
19x13	19	13	18.99	13.02	11220.4	9031.9	2
19x15	19	15	19.03	15.01	11232.8	9830.0	2
19x17	19	17	19.03	17.04	11235.4	10645.6	0
19x19	19	19	19.03	19.0	11233.6	11431.4	0
19x21	19	21	18.95	20.99	11205.2	12229.8	3
19x23	19	23	19.01	23.04	11227.5	13048.5	3
19x25	19	25	19.06	25.0	11245.1	13835.5	1
20x2	20	2	20.04	2.07	11598.8	4643.3	0
20x4	20	4	20.03	4.04	11595.1	5431.6	0
20x6	20	6	20.02	6.02	11593.3	6228.4	0
20x8	20	8	20.08	8.05	11613.3	7042.3	4
20x10	20	10	20.04	10.09	11599.5	7859.0	0
20x12	20	12	20.05	12.03	11601.0	8638.3	0
20x14	20	14	20.04	14.01	11600.3	9428.7	2
20x16	20	16	20.05	16.04	11603.9	10245.2	2
20x18	20	18	20.04	18.06	11598.8	11052.7	3
20x20	20	20	19.99	20.05	11581.9	11853.4	3
20x22	20	22	19.99	22.06	11581.6	12657.1	1
20x24	20	24	20.05	24.05	11603.3	13454.7	0
21x3	21	3	21.02	3.04	11952.2	5033.0	0
21x5	21	5	20.99	5.06	11941.9	5842.2	2
