	x	y	new_x	new_y	pixel_x	pixel_y	cluster
2x38	2	38	2.01	37.96	5068.9	17464.9	3
2x40	2	40	1.97	39.94	5054.7	18258.0	0
2x42	2	42	1.97	41.97	5056.2	19070.3	2
2x44	2	44	1.99	43.95	5062.3	19866.7	0
3x39	3	39	3.04	38.94	5441.4	17856.6	0
3x41	3	41	3.01	40.96	5428.7	18666.9	2
3x43	3	43	3.02	42.95	5434.6	19463.1	0
3x45	3	45	3.01	44.95	5430.0	20266.1	0
4x38	4	38	4.04	37.94	5803.6	17456.9	0
4x40	4	40	3.99	39.95	5783.0	18262.1	2
4x42	4	42	3.99	41.97	5783.7	19072.2	0
4x44	4	44	4.02	43.95	5795.9	19866.2	0
4x46	4	46	4.02	45.94	5796.2	20664.3	0
5x39	5	39	5.01	38.94	6150.8	17857.4	0
5x41	5	41	4.99	40.97	6145.7	18668.2	0
5x43	5	43	4.98	42.96	6140.4	19466.4	0
5x45	5	45	5.0	44.93	6147.9	20256.9	2
5x47	5	47	5.02	46.93	6155.9	21058.1	0
6x38	6	38	5.99	37.95	6504.2	17457.2	0
6x40	6	40	5.92	39.94	6480.2	18258.5	2
6x42	6	42	5.94	41.97	6486.9	19070.8	0
6x44	6	44	5.94	43.96	6489.0	19867.4	4
6x46	6	46	5.96	45.94	6494.8	20661.8	4
6x48	6	48	5.93	47.94	6484.5	21463.6	0
7x39	7	39	6.99	38.96	6866.0	17863.1	0
7x41	7	41	6.91	40.96	6836.9	18664.4	2
7x43	7	43	6.93	42.95	6845.6	19462.7	0
7x45	7	45	6.95	44.95	6851.4	20264.0	0
7x47	7	47	6.95	46.94	6853.3	21063.7	1
8x38	8	38	7.98	37.96	7222.9	17462.4	4
8x40	8	40	7.92	39.97	7201.4	18270.2	3
8x42	8	42	7.93	42.0	7206.6	19084.0	1
8x44	8	44	7.94	43.97	7208.5	19871.3	1
8x46	8	46	7.94	45.96	7209.1	20672.5	1
8x48	8	48	7.91	47.97	7197.6	21475.7	2
9x37	9	37	8.97	36.95	7583.0	17059.4	0
9x39	9	39	8.98	38.94	7585.0	17857.3	2
9x41	9	41	8.91	40.96	7559.3	18666.8	4
9x43	9	43	8.92	42.96	7563.9	19469.0	0
9x45	9	45	8.94	44.96	7571.2	20271.6	3
9x47	9	47	8.94	46.95	7570.6	21066.5	1
9x49	9	49	8.91	48.95	7559.0	21870.7	0
10x36	10	36	9.99	36.04	7948.6	16691.5	0
10x38	10	38	10.0	37.97	7953.1	17467.3	0
10x40	10	40	9.94	40.02	7930.8	18288.9	0
10x42	10	42	9.95	42.06	7936.6	19108.1	1
10x44	10	44	9.95	44.04	7936.5	19901.5	0
10x46	10	46	9.96	46.02	7941.1	20693.9	3
10x48	10	48	9.93	48.04	7930.5	21503.7	0
11x35	11	35	10.95	35.02	8298.0	16285.4	3
11x37	11	37	10.97	37.0	8303.6	17078.5	0
11x39	11	39	11.0	38.98	8315.7	17870.3	3
11x41	11	41	10.97	40.99	8302.8	18676.4	1
11x43	11	43	10.96	43.05	8298.9	19504.7	0
11x45	11	45	10.97	45.04	8303.5	20303.5	1
11x47	11	47	11.02	47.01	8321.5	21093.0	1
11x49	11	49	10.96	49.01	8301.3	21895.4	0
12x36	12	36	11.99	36.0	8672.0	16675.4	0
12x38	12	38	11.98	37.98	8668.2	17472.4	1
12x40	12	40	11.94	40.0	8654.9	18281.2	0
12x42	12	42	11.92	42.03	8649.0	19093.6	2
12x44	12	44	11.95	44.03	8659.0	19898.7	0
12x46	12	46	11.98	46.02	8670.6	20694.9	1
12x48	12	48	11.94	48.03	8655.2	21499.6	0
12x50	12	50	11.94	50.0	8654.8	22291.2	2
13x37	13	37	13.0	37.02	9038.6	17086.2	2
13x39	13	39	12.99	39.0	9031.9	17881.4	1
13x41	13	41	12.95	41.02	9020.5	18688.1	2
13x43	13	43	12.95	43.05	9019.1	19505.8	2
13x45	13	45	12.97	45.02	9025.5	20294.9	3
13x47	13	47	13.0	47.02	9036.7	21096.3	1
13x49	13	49	12.96	49.0	9022.6	21888.5	0
14x36	14	36	13.99	35.96	9394.8	16661.2	2
14x38	14	38	13.99	37.94	9396.4	17455.2	1
14x40	14	40	13.95	39.95	9378.7	18259.7	0
14x42	14	42	13.94	41.96	9376.2	19068.2	2
14x44	14	44	13.95	43.93	9381.4	19858.4	0
14x46	14	46	13.98	45.94	9392.1	20661.8	0
14x48	14	48	13.95	47.94	9380.8	21466.4	1
14x50	14	50	13.95	49.93	9379.2	22262.7	0
15x37	15	37	14.98	36.95	9753.8	17057.9	1
15x39	15	39	15.0	38.95	9761.1	17860.2	1
15x41	15	41	14.93	40.94	9734.3	18656.4	0
15x43	15	43	14.94	42.93	9738.7	19454.2	1
15x45	15	45	14.97	44.94	9749.4	20261.1	0
15x47	15	47	14.99	46.92	9755.0	21056.7	2
15x49	15	49	14.94	48.94	9738.2	21866.9	0
15x51	15	51	14.96	50.92	9746.2	22657.3	1
16x36	16	36	15.97	35.94	10109.6	16651.4	0
16x38	16	38	16.0	37.93	10118.9	17449.0	2
16x40	16	40	15.94	39.93	10099.3	18251.4	0
16x42	16	42	15.94	41.94	10100.5	19057.8	0
16x44	16	44	15.96	43.91	10104.8	19850.1	4
16x46	16	46	15.98	45.92	10112.7	20655.7	0
16x48	16	48	15.93	47.94	10096.7	21464.0	2
16x50	16	50	15.94	49.92	10099.3	22257.1	0
17x37	17	37	16.97	36.92	10471.5	17047.1	1
17x39	17	39	17.01	38.92	10484.8	17846.4	0
17x41	17	41	16.93	40.93	10455.2	18652.6	4
17x43	17	43	16.93	42.91	10458.2	19448.3	0
17x45	17	45	16.96	44.94	10469.0	20261.4	0
17x47	17	47	16.97	46.93	10471.7	21057.6	0
17x49	17	49	16.93	48.91	10455.5	21855.2	0
17x51	17	51	16.94	50.92	10459.6	22657.7	0
18x36	18	36	18.0	36.02	10842.1	16685.4	1
18x38	18	38	18.01	38.02	10846.7	17486.7	1
18x40	18	40	17.96	40.02	10826.8	18288.3	0
18x42	18	42	17.96	42.04	10826.6	19097.8	1
18x44	18	44	17.98	44.04	10837.1	19899.3	2
18x46	18	46	18.03	46.02	10851.9	20696.5	1
18x48	18	48	17.98	48.02	10834.0	21497.9	1
18x50	18	50	17.97	50.02	10832.6	22299.5	1
19x35	19	35	19.0	35.05	11204.9	16297.6	1
19x37	19	37	19.01	37.02	11206.0	17086.6	1
19x39	19	39	19.03	39.02	11214.7	17889.4	0
19x41	19	41	18.95	41.04	11186.8	18697.8	1
19x43	19	43	18.98	43.03	11197.6	19496.3	0
19x45	19	45	19.03	45.03	11214.0	20298.8	1
19x47	19	47	19.03	47.03	11215.0	21100.5	0
19x49	19	49	18.98	49.02	11196.1	21898.4	0
19x51	19	51	18.99	51.01	11201.9	22695.1	3
20x34	20	34	19.97	34.06	11552.3	15899.5	0
20x36	20	36	19.98	36.04	11558.4	16695.1	0
20x38	20	38	20.0	38.05	11565.1	17497.3	0
20x40	20	40	19.9	40.01	11529.3	18283.7	0
20x42	20	42	19.98	42.06	11556.3	19107.1	2
20x44	20	44	20.06	44.02	11585.0	19893.7	1
20x46	20	46	20.01	46.06	11570.4	20709.0	0
20x48	20	48	19.97	48.04	11555.0	21503.8	0
20x50	20	50	19.97	50.05	11555.3	22309.9	2
21x35	21	35	20.99	35.05	11920.8	16296.4	1
21x37	21	37	20.97	37.05	11915.6	17098.2	1
21x39	21	39	21.02	39.04	11934.4	17895.8	0
21x41	21	41	20.96	41.04	11911.3	18696.7	2
