	x	y	new_x	new_y	pixel_x	pixel_y	cluster
14x58	14	58	14.05	57.92	9030.8	25826.7	0
14x62	14	62	14.06	61.94	9037.3	27437.3	0
15x57	15	57	15.0	56.94	9376.1	25433.6	0
15x59	15	59	15.03	58.92	9386.1	26229.7	0
15x61	15	61	15.07	60.96	9399.0	27044.1	3
16x58	16	58	16.06	57.97	9758.9	25847.4	0
16x60	16	60	16.05	59.97	9754.2	26649.7	1
16x62	16	62	16.04	61.95	9751.0	27441.3	3
17x57	17	57	17.0	56.92	10098.8	25427.3	0
17x59	17	59	17.02	58.95	10103.4	26238.8	1
17x61	17	61	17.03	60.91	10109.0	27027.8	1
18x50	18	50	18.06	50.05	10479.4	22673.7	5
18x52	18	52	18.1	52.05	10496.0	23473.8	1
18x54	18	54	18.12	54.05	10501.3	24276.2	1
18x56	18	56	18.04	56.03	10474.8	25071.7	3
18x58	18	58	18.06	58.02	10479.4	25867.3	3
18x60	18	60	18.06	60.05	10481.1	26681.9	1
18x62	18	62	18.1	62.02	10495.8	27472.5	2
19x39	19	39	19.05	39.06	10837.7	18267.7	0
19x41	19	41	19.04	41.06	10833.2	19070.8	1
19x43	19	43	19.09	43.06	10851.8	19870.8	1
19x45	19	45	19.11	45.05	10858.0	20667.4	0
19x47	19	47	19.1	47.02	10856.8	21458.5	1
19x49	19	49	19.04	49.02	10833.9	22259.9	3
19x51	19	51	19.06	51.05	10842.7	23072.7	0
19x53	19	53	19.1	53.05	10857.4	23874.9	1
19x55	19	55	19.1	55.02	10854.7	24665.2	1
19x57	19	57	19.05	57.02	10836.2	25465.2	1
19x59	19	59	19.08	59.03	10849.1	26273.4	1
19x61	19	61	19.09	61.04	10852.4	27076.9	2
20x34	20	34	20.1	34.09	11215.6	16275.1	0
20x36	20	36	20.08	36.03	11210.6	17055.3	0
20x38	20	38	20.11	38.05	11222.0	17863.6	0
20x40	20	40	20.01	40.05	11183.8	18663.0	0
20x42	20	42	20.06	42.06	11202.1	19471.5	1
20x44	20	44	20.16	44.05	11237.3	20266.8	0
20x46	20	46	20.1	46.06	11218.6	21075.7	2
20x48	20	48	20.0	48.06	11182.8	21873.9	0
20x50	20	50	20.06	50.08	11201.8	22686.6	5
20x52	20	52	20.1	52.06	11217.7	23479.7	0
20x54	20	54	20.1	54.06	11215.9	24282.0	0
20x56	20	56	20.04	56.02	11196.8	25067.6	0
20x58	20	58	20.05	58.0	11200.2	25860.1	0
20x60	20	60	20.1	60.02	11217.1	26669.8	0
20x62	20	62	20.08	62.04	11211.6	27478.2	2
21x33	21	33	21.02	33.07	11551.1	15868.4	0
21x35	21	35	21.03	35.11	11554.2	16685.4	0
21x37	21	37	21.03	37.07	11553.7	17470.9	2
21x39	21	39	21.02	39.07	11550.1	18270.1	1
21x41	21	41	21.04	41.07	11555.2	19072.3	1
21x43	21	43	21.05	43.1	11561.2	19885.8	2
21x45	21	45	21.08	45.09	11572.4	20686.0	2
21x47	21	47	21.04	47.06	11558.2	21473.2	5
21x49	21	49	21.05	49.07	11559.9	22279.7	5
