	x	y	new_x	new_y	pixel_x	pixel_y	cluster
4x46	4	46	4.0	45.95	5472.0	21834.3	0
5x43	5	43	5.02	42.98	5840.7	20640.2	5
5x45	5	45	5.0	44.88	5831.2	21402.2	0
5x47	5	47	4.96	46.95	5818.4	22234.1	0
5x49	5	49	4.99	48.92	5829.0	23025.1	5
6x42	6	42	6.05	42.0	6213.6	20248.7	3
6x44	6	44	6.02	43.93	6199.6	21022.8	0
6x46	6	46	6.0	45.98	6195.0	21846.2	0
6x48	6	48	5.96	47.93	6180.5	22628.2	5
6x50	6	50	5.97	49.96	6183.7	23440.2	0
6x52	6	52	6.0	51.93	6193.1	24232.6	3
7x43	7	43	7.02	42.93	6560.5	20622.5	1
7x45	7	45	7.02	44.97	6563.0	21439.0	0
7x47	7	47	6.95	46.94	6536.2	22230.9	3
7x49	7	49	6.97	48.95	6545.6	23036.3	0
7x51	7	51	7.0	50.95	6553.2	23838.5	0
8x42	8	42	8.01	41.96	6919.4	20233.3	3
8x44	8	44	8.01	43.96	6918.5	21034.1	0
8x46	8	46	7.95	45.96	6899.4	21837.6	3
8x48	8	48	7.98	47.98	6907.9	22648.9	5
8x50	8	50	8.0	49.97	6914.8	23443.7	0
8x52	8	52	8.03	51.95	6925.2	24239.6	0
9x43	9	43	8.98	42.92	7267.9	20619.5	0
9x45	9	45	8.97	45.0	7266.3	21450.7	0
9x47	9	47	8.91	46.96	7244.3	22239.2	5
9x49	9	49	8.96	48.95	7261.6	23034.3	0
9x51	9	51	8.97	50.97	7266.5	23846.2	1
9x53	9	53	8.93	52.99	7251.0	24657.8	3
10x42	10	42	9.94	42.04	7616.0	20265.9	0
10x44	10	44	10.0	44.06	7638.3	21073.9	0
10x46	10	46	9.98	46.03	7630.5	21864.7	0
10x48	10	48	10.0	48.08	7637.4	22685.6	0
10x50	10	50	10.02	50.03	7646.0	23470.9	0
10x52	10	52	10.02	52.04	7644.7	24273.3	0
11x41	11	41	11.0	41.01	7999.2	19852.5	0
11x43	11	43	11.02	43.09	8004.3	20684.9	0
11x45	11	45	11.0	45.09	7996.8	21488.1	0
11x47	11	47	11.06	47.0	8020.0	22253.6	0
11x49	11	49	10.99	49.02	7995.9	23062.5	0
11x51	11	51	11.05	51.05	8017.6	23879.8	0
11x53	11	53	11.03	52.98	8010.2	24652.8	0
12x40	12	40	12.0	40.01	8360.5	19449.8	0
12x42	12	42	11.98	42.04	8353.5	20264.0	0
12x44	12	44	12.02	44.05	8365.4	21070.2	0
12x46	12	46	11.99	46.05	8357.2	21873.5	1
12x48	12	48	11.99	48.04	8353.9	22670.8	0
12x50	12	50	12.02	50.04	8365.2	23473.4	0
12x52	12	52	12.02	52.04	8365.0	24274.3	0
12x54	12	54	11.96	54.06	8343.3	25083.8	0
13x37	13	37	13.02	37.03	8728.7	18254.1	0
13x39	13	39	13.0	38.98	8719.4	19039.7	0
13x41	13	41	13.01	41.02	8722.9	19857.6	1
13x43	13	43	13.0	43.06	8719.7	20675.8	0
13x45	13	45	12.99	45.03	8717.6	21465.7	0
13x47	13	47	13.0	47.04	8719.7	22270.1	1
13x49	13	49	13.03	49.04	8732.3	23071.6	0
13x51	13	51	13.03	51.03	8732.1	23871.1	0
13x53	13	53	13.08	52.98	8750.0	24652.2	0
13x55	13	55	12.97	54.92	8710.1	25431.1	0
