	x	y	new_x	new_y	pixel_x	pixel_y	cluster
21x53	21	53	21.09	53.05	11576.8	23505.8	0
21x57	21	57	21.05	57.03	11561.9	25100.8	3
21x59	21	59	21.05	59.03	11564.9	25904.1	3
22x26	22	26	22.05	26.1	11923.8	12697.3	3
22x28	22	28	22.07	28.1	11931.8	13500.3	1
22x30	22	30	22.05	30.08	11925.9	14292.5	0
22x32	22	32	22.02	32.11	11914.5	15108.6	3
22x34	22	34	22.02	34.09	11913.4	15900.2	0
22x36	22	36	22.04	36.08	11920.1	16700.5	1
22x38	22	38	22.08	38.1	11933.6	17509.5	1
22x52	22	52	22.04	52.09	11922.7	23119.1	0
22x54	22	54	22.06	54.1	11927.3	23925.3	0
22x56	22	56	22.03	56.09	11916.9	24726.4	1
22x58	22	58	22.04	58.09	11919.2	25525.7	0
22x60	22	60	22.03	60.11	11917.2	26336.8	0
23x25	23	25	23.02	25.08	12275.6	12286.9	0
23x27	23	27	23.03	27.11	12277.3	13102.9	1
23x29	23	29	23.07	29.1	12292.7	13902.1	2
23x31	23	31	23.08	31.08	12298.1	14692.4	0
23x33	23	33	23.0	33.09	12267.7	15499.4	0
23x35	23	35	23.04	35.11	12280.3	16309.7	0
23x37	23	37	23.04	37.08	12280.9	17102.4	0
23x39	23	39	23.05	39.07	12283.9	17900.3	0
23x41	23	41	23.01	41.06	12272.5	18698.2	0
23x43	23	43	23.01	43.09	12270.5	19510.1	3
23x51	23	51	23.05	51.04	12287.2	22699.8	0
23x53	23	53	23.04	53.09	12283.1	23520.9	0
23x55	23	55	23.06	55.09	12289.1	24325.0	1
23x57	23	57	23.06	57.09	12288.2	25126.3	2
23x59	23	59	23.05	59.08	12283.7	25926.1	1
23x61	23	61	23.05	61.09	12284.7	26730.2	0
24x20	24	20	24.08	20.11	12656.7	10295.9	0
24x22	24	22	24.08	22.09	12657.6	11090.1	1
24x24	24	24	24.03	24.08	12638.8	11885.4	2
24x26	24	26	24.03	26.08	12638.7	12690.7	0
24x28	24	28	24.04	28.1	12643.6	13498.8	1
24x30	24	30	24.06	30.07	12649.2	14287.9	0
24x32	24	32	24.02	32.08	12634.4	15095.8	2
24x34	24	34	24.03	34.07	12640.0	15893.2	0
24x36	24	36	24.02	36.07	12637.2	16696.8	0
24x38	24	38	24.04	38.06	12641.2	17492.0	0
24x40	24	40	23.99	40.09	12623.8	18306.5	0
24x42	24	42	24.01	42.09	12630.7	19110.1	0
24x44	24	44	24.04	44.08	12642.1	19907.7	0
24x46	24	46	24.02	46.06	12634.3	20701.8	3
24x48	24	48	24.02	48.1	12635.3	21519.5	0
24x50	24	50	24.03	50.04	12640.1	22299.8	0
24x52	24	52	24.05	52.07	12644.9	23112.6	0
24x54	24	54	24.05	54.1	12647.5	23927.1	0
24x56	24	56	24.03	56.09	12640.7	24725.5	1
24x58	24	58	24.01	58.06	12632.2	25516.0	0
24x60	24	60	24.04	60.05	12643.1	26311.3	1
24x62	24	62	24.04	62.08	12642.1	27126.7	3
25x17	25	17	25.06	17.09	13010.4	9083.5	0
25x19	25	19	25.05	19.09	13009.1	9884.5	0
25x21	25	21	25.07	21.09	13014.5	10686.3	2
25x23	25	23	25.07	23.08	13014.1	11486.8	0
25x25	25	25	25.04	25.07	13003.7	12284.0	2
25x27	25	27	25.06	27.08	13012.1	13089.4	0
25x29	25	29	25.07	29.07	13013.1	13886.9	0
25x31	25	31	25.06	31.06	13010.3	14685.8	0
25x33	25	33	25.0	33.06	12990.5	15489.2	2
25x35	25	35	25.03	35.05	12998.8	16285.3	1
25x37	25	37	25.04	37.07	13003.3	17097.6	0
25x39	25	39	25.03	39.06	12998.8	17893.9	0
25x41	25	41	24.99	41.07	12987.0	18700.0	3
25x43	25	43	25.01	43.09	12992.8	19509.2	0
25x45	25	45	25.06	45.06	13010.0	20300.8	5
25x47	25	47	25.05	47.06	13008.5	21104.0	0
25x49	25	49	25.03	49.06	12999.9	21906.7	0
25x51	25	51	25.04	51.04	13002.5	22700.1	0
25x53	25	53	25.03	53.08	13000.2	23518.5	0
25x55	25	55	25.08	55.07	13017.1	24317.7	0
25x57	25	57	25.02	57.05	12995.4	25110.5	2
25x59	25	59	25.03	59.06	13001.6	25916.0	0
